Sr. No.,Heading,Summary,Links,Date & Time,Content,Language,Publication,Sentiment,Authors
145,"'Rajnath Singh should resign', accused of misleading Parliament on Operation Sindoor, BK Hariprasad demands accountability","Karnataka Congress chief BK Hariprasad demanded Defence Minister Rajnath Singh's resignation, accusing him of misleading Parliament regarding casualties in 'Operation Sindoor' by contradicting his 2025 statement with the recent inscription of six martyrs' names at the National War Memorial. The Defence Ministry clarified that these sacrifices were honored previously through press conferences and gallantry awards, rejecting claims of recent first-time acknowledgment.","[""https://www.jansatta.com/national/rajnath-singh-resignation-over-operation-sindoor-parliament-row-bk-hariprasad-demands/4597583/""]",29-06-2026 11:18,"Karnataka Congress chief BK Hariprasad on Monday (June 29, 2026) demanded the resignation of Defence Minister Rajnath Singh. He made this demand amidst the recent controversy over the names of six military personnel martyred during 'Operation Sindoor'. The names of these six soldiers have recently been inscribed on the National War Memorial.

BK Hariprasad, in a post on 'X', cited a statement made by Defence Minister Rajnath Singh in Parliament in 2025. He claimed that the Defence Minister had clearly stated that no Indian soldier lost his life during Operation Sindoor.

He said that the subsequent public disclosure of the names of military personnel martyred during the operation reveals a serious contradiction between the Defence Minister's earlier statement and the information that later emerged.

Hariprasad wrote on 'X', ""Defence Minister Rajnath Singh had clearly stated in Parliament that #OperationSindoor during which no Indian soldier lost his life. But the BJP government's subsequent disclosure of the names of the military personnel who made the supreme sacrifice exposes a serious contradiction in his earlier statement.""

Hariprasad further said, ""If Parliament has been misled on such a serious issue of national importance, accountability cannot be avoided. Defence Minister Rajnath Singh should resign for misleading Parliament. Our martyrs deserve truth, honesty, and respect, not contradictory statements.""

Defence Minister @rajnathsingh categorically had told Parliament that no Indian soldiers had lost their lives during #OperationSindoor. The @BJP4IndiaGovt's own subsequent disclosure naming the personnel who made the supreme sacrifice exposes a serious contradiction. If…

It should be noted that the names of six Indian security force personnel martyred during 'Operation Sindoor', which lasted for four days against Pakistan in May 2025, have now been inscribed on the National War Memorial in New Delhi.

As politics heated up on this issue, the Ministry of Defence clarified on Saturday that the nation had already honored the six military personnel who made the supreme sacrifice during Operation Sindoor at the appropriate time. The Ministry rejected claims that their sacrifice was publicly acknowledged for the first time recently.

The Defence Ministry's release stated, ""Some reports circulating in certain sections of the media and on social media platforms have falsely claimed that the sacrifice of the six brave soldiers who made the supreme sacrifice during Operation Sindoor has been acknowledged or made public for the first time recently. It is clarified that these martyrs were paid tribute by the nation much before the related reports emerged, at the earliest available opportunity.""

According to the release, during an official press conference held on May 11, 2025, the then Director General of Military Operations (DGMO) paid tribute to these brave soldiers and specifically mentioned their supreme sacrifice while performing duty during Operation Sindoor.

Furthermore, these brave soldiers were also honored with gallantry awards, the information of which was made public in an official press release on August 14, 2025. The Ministry stated that this was a formal and national-level recognition of their valor and supreme sacrifice, in line with the highest traditions of the Indian Armed Forces.

The Government of India has officially made public the names of 6 soldiers martyred during Operation Sindoor for the first time. The names of these brave soldiers will be inscribed in the Roll of Honor on the website of the National War Memorial in Delhi. India had launched Operation Sindoor on the night of May 6 and 7, 2025, to destroy terrorist bases located in Pakistan.",Hindi,Jansatta,NEGATIVE,"[""जनसत्ता न्यूज डेस्क""]"
146,"Op Sindoor: Congress demands Defense Minister's resignation, what did Karnataka party president say about the martyred sons?","A political controversy has erupted following the inscription of six martyred soldiers' names from Operation Sindoor on the National War Memorial. Congress leader BK Hariprasad accused Defense Minister Rajnath Singh of misleading Parliament by initially denying casualties, despite later confirmation of six sacrifices. Hariprasad has demanded the Defense Minister's resignation over the matter.","[""https://www.amarujala.com/india-news/op-sindoor-congress-demand-defence-minister-resignation-what-did-karnataka-party-president-say-about-martyred-2026-06-29""]",29-06-2026 10:56,"Operation Sindoor Controversy: The political controversy has intensified after the names of six soldiers martyred during Operation Sindoor were inscribed on the National War Memorial. Congress leader BK Hariprasad alleged that Defense Minister Rajnath Singh had stated in Parliament that no soldier was martyred in the operation, while later the sacrifice of six soldiers was confirmed. Calling it a case of misleading Parliament, he demanded the Defense Minister's resignation.",Hindi,Amar Ujala,NEGATIVE,"[""प्रशांत तिवारी""]"
147,Political Storm Brews Over Alleged Misleading Claims by Defence Minister,"A political controversy has erupted in Karnataka, with Congress chief BK Hariprasad demanding Defence Minister Rajnath Singh's resignation. Hariprasad alleges that Singh misled Parliament in 2025 by denying soldier fatalities during 'Operation Sindoor,' a claim now contradicted by the BJP government's recent acknowledgment of six fallen soldiers. The Defence Ministry, however, clarified that tributes and gallantry honors for these heroes were timely, countering suggestions of delayed recognition.","[""https://www.devdiscourse.com/article/politics/3942039-political-storm-brews-over-alleged-misleading-claims-by-defence-minister""]",29-06-2026 10:15,"Karnataka Congress chief BK Hariprasad on Monday called for the resignation of Defence Minister Rajnath Singh, amid controversy over the acknowledgment of fallen soldiers during 'Operation Sindoor.' Hariprasad's demands followed Singh's 2025 parliamentary statement, claiming no soldier fatalities during the operation, now contradicted by recent disclosures.

The Congress leader stated on X that Singh's statement misled Parliament by denying soldier casualties, a contradiction exposed by the BJP government's recent acknowledgment of six soldiers who died during the operation. 'If Parliament was misled on such national importance, accountability cannot be avoided,' Hariprasad asserted, demanding Singh's resignation for misleading lawmakers.

The Defence Ministry clarified that tributes to the fallen heroes were timely, counteracting reports suggesting their sacrifice was only recently recognized. During a May 2025 press conference, the Director General of Military Operations paid homage to the soldiers, acknowledging their courage and awarding them gallantry honors as a testament to their sacrifice.",English,Devdiscourse,NEUTRAL,"[""Devdiscourse News Desk""]"
148,"BK Hariprasad demands Rajnath Singh's resignation, says accountability cannot be avoided for ""misleading"" Parliament on Op Sindoor","Karnataka Congress chief BK Hariprasad has demanded Defence Minister Rajnath Singh's resignation, accusing him of misleading Parliament regarding casualties in ""Operation Sindoor"" after six fallen personnel's names were etched at the National War Memorial. The Ministry of Defence, however, clarified that these sacrifices were formally acknowledged and awarded in 2025, refuting claims of recent public disclosure.","[""https://aninews.in/news/national/politics/bk-hariprasad-demands-rajnath-singhs-resignation-says-accountability-cannot-be-avoided-for-misleading-parliament-on-op-sindoor20260629094320""]",29-06-2026 09:43,"Bengaluru (Karnataka) [India], June 29 (ANI): Karnataka Congress chief BK Hariprasad on Monday demanded the resignation of Defence Minister Rajnath Singh amid the recent controversy surrounding the names of six armed forces personnel who lost their lives during ""Operation Sindoor,"" which were recently etched at the National War Memorial. In a post on 'X', Hariprasad referenced Rajnath Singh's 2025 parliamentary speech, claiming the Defence Minister had ""categorically"" told Parliament that no soldiers' lives were lost during Operation Sindoor. He stressed that the subsequent disclosure of the operation's fallen heroes represents a ""serious contradiction"" to the Minister's earlier remarks. ""Defence Minister Rajnath Singh categorically told Parliament that no Indian soldiers lost their lives during #OperationSindoor. The BJP government's own subsequent disclosure naming the personnel who made the supreme sacrifice exposes a serious contradiction,"" the Congress leader wrote on X. ""If Parliament was misled on a matter of such national importance, accountability cannot be avoided. Rajnath Singh must resign for misleading Parliament. Our martyrs deserve truth, honesty, and respect--not contradictory statements,"" Hariprasad added. The names of the six Indian security personnel who died during the four-day operation against Pakistan in May 2025 have since been etched at the National War Memorial in New Delhi. As the issue ignited a political row, the Ministry of Defence clarified on Saturday that the nation had honoured the six personnel who made the supreme sacrifice during Operation Sindoor at the earliest opportunity, rejecting claims that their sacrifice had only been acknowledged publicly for the ""first time"" recently. According to the release, it stated, ""Certain reports circulating in sections of the media and on social media platforms have incorrectly suggested that the supreme sacrifice of six bravehearts during Operation Sindoor has been acknowledged or brought to public notice for the first time only recently. It is clarified that the nation paid homage to these fallen heroes at the earliest opportunity, well before the reports in question."" During the official press conference held on May 11, 2025, the then Director General of Military Operations paid solemn tribute to these brave soldiers and specifically acknowledged their sacrifice in the line of duty during Operation Sindoor. These bravehearts were conferred with gallantry awards, and this was published in the press release of August 14, 2025. This constituted a formal and national recognition of their valour and supreme sacrifice in keeping with the highest traditions of the Indian Defence Forces, the release had stated. (ANI)",English,ANI,NEUTRAL,"[""ANI""]"
149,Writings On A Wall,"The article criticizes the Indian government for delaying the acknowledgement of soldiers killed in Operation Sindoor and for a broader pattern of concealing facts regarding military casualties and other national events. It argues that such lack of transparency, exemplified by past incidents like the Balakot airstrikes and the Bahanaga train crash, erodes public trust and disrespects the sacrifices of soldiers. The author advocates for prompt and dignified recognition for fallen soldiers and complete transparency from the government to uphold democratic values and ensure accountability.","[""https://www.orissapost.com/writings-on-a-wall/""]",29-06-2026 07:09,"A nation remembers its wars not only through victories but also through the names of those who never returned to their homes. Which is why the ultimate sacrifice made by a soldier demands the ultimate respect of the nation. On 26 June 2026, more than a year and a month after Operation Sindoor – the four-day military confrontation with Pakistan – the government of India revealed the names of six soldiers who were killed at the time in line of duty. Names of the six military personnel, Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Agniveer Mood Muralinaik, Havildar Sunil Kumar Singh from the Army, and Sergeant Surendra Kumar from the Air Force, came to public knowledge when they were recently inscribed on a wall at the National War Memorial.
Delay in acknowledging military casualties does a great disservice to the families of the fallen soldiers. With their loved ones reduced to unsung statistics, families of the soldiers are often deprived of the honour that they rightfully deserve. The Indian defence apparatus’s tendency to conceal statistics in the name of national security raises an uncomfortable question: Does hiding the truth protect the country, or does it merely shield the government from accountability? Operation Sindoor was launched in May 2025 in retaliation for the Pahalgam terror attack of 22 April 2025, in which 26 civilians lost their lives. Terror infrastructure was targeted in Pakistan and Pakistan-occupied Kashmir, and was followed by four days of military exchanges before both sides reached an understanding to end the hostilities. Admittedly, military operations mostly require a high level of secrecy. It is understood that tactical information, troop movements and operational details cannot be disclosed while the hostilities continue. But once operations conclude, the identities of the personnel killed in action should not remain in administrative limbo.
Historically, the sacrifice of our defenders has always met with public reverence and collective mourning. Today, however, the System increasingly chooses suppression over transparency. The social media is full of accusations that the government is deliberately concealing the details of casualties for a year and has misled even the Parliament. The country has observed the telecast showing the vehemence with which Defence Minister Rajnath Singh claimed in Parliament on 28 July 2025 that not a single Indian soldier was harmed during Operation Sindoor. Hiding facts from the public, it seems, has been ingrained in our system, irrespective of the political party in power.
Concealing facts, publishing lies and manipulating figures is a systemic issue in India for a long. A similar pattern was observed during the capture of Wing Commander Abhinandan Varthaman by Pakistan in 2019. When senior military officials claimed that all Indian aircraft and pilots had returned safely to base after conducting airstrikes in Balakot in February 2019, Pakistani social media showed the downing of a MiG 21 and capture of the pilot. If hiding facts is intended to boost the morale of the people, then getting caught later is even more demoralising. Similarly, during the Bahanaga triple train crash of June 2023, the railway authorities were seen spouting and manipulating the death toll. Those who cared had found out how all the morgues, starting from Balasore down the coastal belt of this state, were filled with crushed bodies for long, waiting for relatives to claim the remains. Many who could not be identified were cremated very unceremoniously.
Democracies earn credibility not by presenting casualty-free narratives during any military action or any event, for that matter, but by revealing the truth to the public so that lessons may be learned from mistakes. This malaise should therefore rise above partisan politics. Neither the ruling establishment nor the Opposition should reduce the sacrifice of soldiers to a political contest. The real focus must remain on ensuring that every fallen soldier receives timely and dignified recognition and the bereaved families get due recognition and compensation immediately, irrespective of the political party in power. The six names now engraved on the National War Memorial could have secured their rightful place in the nation’s his tory, albeit very late. But India owes its soldiers more than eventual remembrance on a flat wall surface. It owes them prompt acknowledgement, complete transparency and an unwavering commitment that no sacrifice in its defence will ever wait for inefficient defence official recognition.
A country that sleeps peacefully because its soldiers stand guard at the borders has the right to know who has fallen to keep it safe. True patriotism cannot be built on the foundation of falsehood.",English,Orissa Post,NEGATIVE,"[""Post News Network""]"
150,"'Congress is eroding people's trust in the armed forces', BJP's counter-attack on the accusation of hiding army's sacrifice","BJP spokesperson Shehzad Poonawalla strongly refuted Congress's allegations that the government concealed the sacrifice of six soldiers during ""Operation Sindoor,"" stating they were duly honored with gallantry awards. Poonawalla accused Congress of spreading lies to demoralize the armed forces, driven by its animosity towards BJP and PM Modi. He questioned if Congress's actions aimed to create distrust and internal issues within the army, potentially benefiting enemy nations.","[""https://www.jagran.com/news/national-bjp-slams-congress-over-operation-sindoor-army-sacrifice-claims-40288471.html""]",29-06-2026 05:15,"BJP spokesperson Shehzad Poonawalla termed the Congress's allegations as lies spread with the intention of demoralizing the armed forces and said that the six military personnel who attained martyrdom during Operation Sindoor were given due respect for their service to the country and publicly honored with gallantry awards.
It is noteworthy that a day earlier, Congress leader Pawan Khera had accused the government of hiding the supreme sacrifice of six soldiers during ""Operation Sindoor"" and also showed a video of Defense Minister Rajnath Singh's statement in Parliament. The Ministry of Defense has rejected such claims.
Poonawalla alleged that the Congress's attack is motivated by its hatred towards BJP and Prime Minister Narendra Modi. He asked, ""To what extent can Congress stoop? The Congress party hates BJP and Prime Minister Modi. Everyone knows this.""
""But, in its hatred towards BJP, will it (Congress) start hating our army too? Will it create doubt in people's minds about our army? Does it want internal problems and rebellion in our army, so that Pakistan and other enemy countries can benefit?""",Hindi,Dainik Jagran,POSITIVE,"[""Naveen Kumar""]"
151,"PLA set up camps allegedly inside Taksing area | Terming ‘encroachment’, NWS seeks GoAP-GoI intervention | Arunachal Observer","A community organization, the NAH Welfare Society (NWS), alleges that the Chinese PLA has encroached upon Indian territory in Arunachal Pradesh's Taksing circle, establishing military camps and infrastructure in traditionally used areas. The NWS has sought urgent intervention from the state and central governments, expressing alarm over the alleged occupation and the perceived inadequacy of the current response. The article also references a hypothetical future military operation by India, warning China against further provocations and highlighting India's strong defense capabilities.","[""https://arunachalobserver.org/2026/06/29/pla-set-up-camps-allegedly-inside-taksing-area-terming-encroachment-nws-seeks-goap-goi-intervention/""]",29-06-2026 01:15,"By Special Correspondent ITANAGAR, June 28: A community organisation has alleged that Chinese People’s Liberation Army (PLA) has established military camps and infrastructure deep inside Indian territory in remote Taksing circle of Upper Subansiri district, raising fresh concerns over border encroachment along India-China frontier. The NAH Welfare Society (NWS), a registered organisation based in Taksing, has written to Upper Subansiri deputy commissioner, claiming that the PLA has occupied several areas traditionally used by local communities and built roads, bridges and military camps over the past five years. In a letter dated June 26, signed by NWS president Keru Chader, the NWS has identified five locations—Oying (2445) in Asaphila area, Paniar in Chujarta, Marpan (Marnafe), Potrang Lake and Tindingtang—as areas now allegedly under Chinese occupation. According to the NWS, these sites were “firmly within Indian territory” before 2020, with some of them holding religious significance as sacred pilgrimage sites in the Tsari region. “We are losing our land inch by inch day by day to them. The intention and speed of the present activities of the Chinese PLA at Taksing area is very alarming and a matter of grave concern for us,” Chader wrote in the letter. The NWS alleged that ancestral hunting grounds and traditional cattle-grazing areas, used freely by local residents for generations, have been taken over by Chinese forces. It further claimed that extensive military infrastructure, including well-connected roads and permanent camps, has come up in these areas in recent years. “The Chinese Govt is very fast expanding their territory by occupying new and important places of our land situated at border area,” the letter said and urged both the GoAP and the GoI to tackle the issue. While expressing faith in the Indian Army’s commitment to defending the border, the NWS said the current response has not been sufficient to halt the alleged encroachment. “They have been guarding our land for many years, but their efforts are not enough,” Chader wrote. Taksing, a strategically significant village in the Upper Subansiri district, is located approximately 7-km from international India-China border. The NWS has also enclosed photographs with the letter, claiming they show Chinese military activities in the disputed areas, and has sought immediate intervention from state and central authorities to safeguard the region’s territorial integrity. The allegations come amid continuing concerns over infrastructure expansion and territorial claims by China along the Line of Actual Control (LAC) in Arunachal Pradesh, which Beijing claims as part of “South Tibet” despite India’s repeated rejection of such assertions.There has been no immediate response from the district administration, the Indian Army or the Ministry of External Affairs on the allegations made by the organisation. This sensitive state shares 1,129-km of total 3,488-km Indo-China border. But, Bejing should not forget Operation SINDOOR, launched on 07.05.25 by Indian Armed Forces in response to 22.04.25 Pahalgam terror massacre that claimed the lives of 26 civilians. Pakistan-backed attackers stormed a village, asked people their religion, and killed them, resulting in 26 deaths. A clear attempt to incite communal violence, this marked a shift, from cross-border attacks to dividing India from within. Pakistan armed with Chinese-made wherewithal had responded but India’s Integrated Counter UAS Grid and air defense systems successfully thwarted these offensives. Military actions ceased on 10.05.25 after the Directors General of Military Operations (DGMO) agreed to halt hostilities, but the ineffectiveness of China’s weapons was exposed. China should avoid misadventure in Indo-China border to provoke India to launch another operation ‘Demolish Han Ego’.",English,Arunachal Observer,POSITIVE,"[""Unknown""]"
152,"""They inscribed his name at War Memorial, want my children to follow his footsteps"": Wife of Op Sindoor hero","The family of Lance Naik Dinesh Kumar Sharma expressed immense pride and gratitude after his name was inscribed at the National War Memorial for his sacrifice in Operation Sindoor. His wife thanked the government for the honour and support, while his mother urged the completion of local memorial work. Operation Sindoor, conducted in May 2025, successfully targeted terror leaders and avenged the Pahalgam terror attack, with Indian forces striking nine terror targets.","[""https://aninews.in/news/national/general-news/they-inscribed-his-name-at-war-memorial-want-my-children-to-follow-his-footsteps-wife-of-op-sindoor-hero20260628193009""]",28-06-2026 19:30,"Palwal (Haryana) [India], June 28 (ANI): Family members of Lance Naik Dinesh Kumar Sharma , one of the six bravehearts who laid down their lives during Operation Sindoor, on Sunday expressed gratitude after his name was inscribed at the National War Memorial in New Delhi, calling it a matter of immense pride and honour. Speaking to ANI, Sharma's wife, Seema Devi, said the recognition reflected the nation's respect for the sacrifices made by its soldiers and thanked the government for supporting the martyr's family. ""This village, country, and I are proud of my husband for the sacrifice he did for the nation. I thank the government for bestowing such great honour upon us. They have inscribed his name at the War Memorial in Delhi and provided me with a job as a clerk in the Education Department. I want my children to follow his footsteps. CM Nayab Saini had visited when he was martyred,"" she said. His mother, Meera Devi, also welcomed the government's recognition but urged authorities to complete the pending memorial work in the village. ""The government is honouring us, it is a matter of great pride. I feel very proud that my son brought honour to India. The Chief Minister had spoken about renaming the village, but the name hasn't been changed yet. That should happen. We have received all due recognition. However, the work on the statue and memorial hasn't been fully completed yet, and that needs to be finished. My child sacrificed his life for India, and he deserves to be honoured properly,"" she said. The names of the six Indian security personnel who died during the four-day armed operation against Pakistan in May 2025 have been etched at the National War Memorial in New Delhi. Operation Sindoor were carried out to avenge the victims of the Pahalgam terror attack and to eliminate Jaish-e-Mohammed (JeM) and Lashkar-e-Taiba (LeT) leaders involved in planning and executing terrorist attacks in India on May 2025. Indian Armed Forces successfully struck nine terror targets, four in Pakistan, including Bahawalpur, Muridke, and Sialkot, and five in Pakistan-occupied Jammu and Kashmir (PoJK), using special precision munitions in a coordinated operation. The operation was jointly carried out by the Indian Army, Navy, and Air Force, with the mobilisation of assets and troops. (ANI) News",English,ANI,POSITIVE,"[""ANI""]"
153,"ABP Majha Top 10 Headlines | June 28, 2026 | Sunday","This bulletin provides a quick overview of the day's top news, covering political exchanges between prominent leaders, a murder investigation, a fatal road accident, and the approval for a modern ropeway on Raigad Fort. It also reports on a TET paper leak case, the honoring of martyred jawans, and updates on economic and sports news.","[""https://marathi.abplive.com/news/mumbai/abp-majha-top-10-headlines-28-june-2026-uddhav-thackeray-devendra-fadnavis-samruddhi-mahamarg-accident-india-vs-ireland-marathi-news-1429760""]",28-06-2026 17:59,"This bulletin provides a quick overview of the day's important news. It includes updates related to Corona, political, social, economic, sports, and other news from across the country and the state.
1. Devendra Fadnavis looked helpless in the plane, a man who has completely lost confidence, because he understands that his own bosses are clipping his wings, Uddhav Thackeray's taunt https://tinyurl.com/2k2uezaw I have no wings, so who will clip my wings? I have the blessings of 14 crore people of Maharashtra and senior leaders of the party, Devendra Fadnavis's reply https://tinyurl.com/bdct6476
2. 'That traitor who wore a tiger's skin...', Uddhav Thackeray lashed out at MP Sanjay Jadhav in a rally in Parbhani, Thackeray's rally LIVE in Omraje's Dharashiv https://www.youtube.com/watch?v=1vzrlecnuHU Sanjay Raut and Uddhav Thackeray don't get along, Raut works to harm Thackeray, Sanjay Jadhav's reply https://tinyurl.com/2zvvn4mk
3. Pune Rural Police recreated the scene of Ketan Agrawal's murder on Lohagad, recreation completed in three hours in the presence of accused Siya Goyal https://tinyurl.com/52mvr6x8 It seemed easier to kill Ketan than to break off the marriage; Siya Goyal's shocking confession during police interrogation https://tinyurl.com/bds544ct
4. Vishwas Nangare Patil should join the RSS branch, BJP minister Chandrakant Patil's open offer, statement that RSS is not an anti-national organization https://tinyurl.com/4xv8bc2v I didn't know they wear shorts, Jitendra Awhad's sarcastic reply to the question of Vishwas Nangare Patil praising RSS https://tinyurl.com/2fz242yw
5. Horrific accident on Samruddhi Highway in Dhamangaon Railway taluka of Amravati, truck and car collision; 5 people from Chandrapur traveling in the car died https://tinyurl.com/abpm86nz
6. Archaeological Department approves the construction of a modern ropeway by the Maharashtra government on Raigad Fort, tourists will be able to go to the fort for 50 to 100 rupees, information by Sambhajiraje Chhatrapati https://tinyurl.com/5byhr7c9
7. Bhiwandi Sessions Court grants 8 days police custody to the accused in the TET paper leak case, police suspect an interstate racket is active, two accused found to be absconding https://tinyurl.com/ycxcr6ey Teachers have studied for TET for a year, now the paper has leaked, so declare all teachers passed, demand by Jagannath Abhyankar, MLA of Thackeray's Sena https://tinyurl.com/577d382f
8. Six jawans including Subedar Major martyred in Operation Sindoor, names announced for the first time after a year; included in the 'Roll of Honor' list of the National War Memorial https://tinyurl.com/3uyp2xs9
9. Gold and silver prices fall for the fourth consecutive week, silver cheaper by 22314 rupees, one kg silver price at 2 lakh 15 thousand 485 rupees, one tola gold price at 140062 rupees https://tinyurl.com/3kcbsaxc Investors of 6 out of top 10 Sensex companies became rich in four days, earned 88678 crores, ICICI Bank benefited the most while Bharti Airtel was hit https://tinyurl.com/559r2wj8
10. Shreyas Iyer decides to bowl after winning the toss in the second T20 against Ireland, Vaibhav Suryavanshi still on the bench, fans' wait increased https://tinyurl.com/2ubnyhe6 India's match against Australia at Lord's today in Women's T20 World Cup, India needs victory to enter semi-finals https://tinyurl.com/f948ath9",Marathi,ABP Majha,NEUTRAL,"[""युवराज जाधव""]"
154,"Ram Temple donation scam under the watch of Prime Minister, Chief Minister; Congress Women's President Alka Lamba alleges","Mahila Congress National President Alka Lamba has alleged a donation scam in the Ram Temple in Ayodhya, claiming it is occurring under the direct supervision of the Prime Minister and Uttar Pradesh Chief Minister. Lamba also criticized the BJP government for perceived failures in border security, the NEET paper leak, and the lack of action against BJP leaders allegedly involved in atrocities against minor girls. She announced a nationwide campaign by Mahila Congress to demand the immediate implementation of the Women's Reservation Bill.","[""https://www.loksatta.com/nagpur/alka-lamba-congress-allegation-ram-mandir-donation-scam-modi-yogi-nagpur-hsp-89-5986791/""]",28-06-2026 17:47,"Nagpur: A donation scam has been exposed in the Ram Temple in Ayodhya, Uttar Pradesh. Individuals suggested by the Prime Minister and the Chief Minister of Uttar Pradesh have been appointed to the Ram Temple Trust. National President of Mahila Congress, Alka Lamba, alleged on Sunday that this entire scam is taking place under the watch of Prime Minister Narendra Modi and Chief Minister Yogi Adityanath.
A divisional convention of Mahila Congress was organized at MLA Niwas. Speaking to reporters after the convention, she said that after 'vote theft', now a case of 'donation money theft' has come to light. This scam is a way of playing with the faith of Ram devotees. All the individuals being accused in this case are close to Modi and Yogi. She alleged that this scam continued under their watch.
The BJP government has failed in every sector. The country's borders are not secure. Defense Minister Rajnath Singh gave false information in the house regarding Operation Sindoor. Questions will be raised about this in the monsoon session of Parliament in July.
She said that the agitation would not stop until Education Minister Dharmendra Pradhan resigns in the NEET paper case. Mahila Congress state president Sandhya Savvalakhe, Nash Ali, Kunda Raut, Avantika Lekurwale were present on the occasion.
The Women's Reservation Bill has been passed in Parliament. To demand its immediate implementation, Mahila Congress is running a postcard and missed call campaign nationwide. She stated that 10 lakh postcards would be sent to the Prime Minister from across the country. She also alleged that BJP's delimitation bill has failed, and it is being said that this bill will be brought again in the name of women's reservation, for which MPs from various parties across the country are being 'broken'.
After the NEET question paper, now the TET question paper has also leaked. The links of the NEET paper leak are connected to BJP leaders. BJP leaders are involved in atrocities against minor girls, due to which no action is taken. She said that in the last 12 years, no accused in any case of atrocities against minor girls has been sentenced to death. Instead, those convicted of atrocities are being released on parole.",Marathi,Loksatta,NEGATIVE,"[""लोकसत्ता टीम""]"
155,"Suspicious death of a young man after falling from the fourth floor eight days after his marriage anniversary, story of two marriages comes to light","A man named Deepak mysteriously died after falling from the fourth floor of his flat in Jamui, Bihar, just eight days after celebrating his second marriage anniversary there. Police are investigating the incident, which has brought to light details of his two marriages and family life. Deepak reportedly maintained a balance between his two wives and children, and the circumstances surrounding his death are currently under thorough investigation.","[""https://firstbihar.com/crime/jamui-mysterious-death-after-wedding-anniversary-second-wife-story-469324""]",28-06-2026 16:59,"Bihar Crime News: A shocking incident has come to light in Jamui. Eight days after Deepak celebrated his second marriage anniversary with Seema Kumari on June 19 in the same flat, he mysteriously died after falling from the fourth floor of that flat late on the night of June 26. After this incident, several aspects related to Deepak's family life have come to light, which are being discussed in the area. Currently, the police are investigating the case from all angles.

According to family members and close associates, Deepak's first marriage was with Kajal Kumari, a resident of Gaura Maurya in Lakshmipur police station area. From this marriage, he has a two-and-a-half-year-old son and a seven-month-old daughter. Later, Deepak had a love marriage with Seema Kumari, a resident of Barhat police station area. Seema works in a private microfinance company and is currently posted in Bengabad, Jharkhand.

It is said that the two met during Seema's posting in Khaira. From here, a love affair started between them, and later, even before marriage, Deepak filled sindoor in Seema's hairline and accepted her as his wife.

Close associates say that Deepak had his first marriage at the behest of his parents, but he did not hide anything about Seema from his first wife either. According to relatives, he was living a happy life balancing both wives and children.

On June 19, Deepak also celebrated his second marriage anniversary with his friend Rocky Singh and other family members in the flat. Pictures and videos of the ceremony are going viral on social media. After the event concluded, Deepak himself went to drop Seema at Jamui Railway Station, from where she returned to her duty.

However, just eight days after the marriage anniversary, Deepak died after falling from the fourth floor of the same flat. This mysterious incident has stunned the entire area. The police are thoroughly investigating every aspect to ascertain the actual causes of death.",Hindi,First Bihar,NEUTRAL,"[""Mukesh Srivastava""]"
156,Military personnel death cover-up issue; Did Rajnath Singh mislead Parliament..? Opposition attacks Union Government,"Opposition parties have accused Union Minister Rajnath Singh of misleading Parliament by allegedly concealing the deaths of six military personnel during 'Operation Sindoor' in 2024, whose names were recently inscribed at the National War Memorial. Congress leaders questioned the minister's awareness or honesty regarding the incident. The Ministry of Defense, however, clarified that the minister's statement was misrepresented and intended to refute rumors, adding that the sacrifices were previously acknowledged and awards presented.","[""https://www.dinakaran.com/news/concealment-of-soldiers-death-rajnath-singh-union-government-parliament/""]",28-06-2026 16:02,"New Delhi: Opposition parties have complained against Union Minister Rajnath Singh for allegedly providing false information in Parliament by concealing the deaths of military personnel during 'Operation Sindoor'. During 'Operation Sindoor' in 2024, a total of six personnel, five from the Indian Army and one from the Air Force, were martyred. Regarding this, during a debate in the Lok Sabha on July 28, 2025, Union Defense Minister Rajnath Singh had stated, 'No Indian soldiers were harmed during this operation.'

Now, the names of the martyred Subedar Major Pawan Kumar, Rifleman Sunil Kumar (Vir Chakra), Lance Naik Dinesh Kumar, Aviation Technician Mood Murali Naik, Havildar Sunil Kumar Singh, and Air Force Sergeant Surendra Kumar (Vayu Medal) have been officially inscribed at the National War Memorial in Delhi. Following the release of the soldiers' names, the Congress party has strongly condemned Rajnath Singh for misleading Parliament. Commenting on this, Congress leaders Manish Tewari and Pawan Khera, in an interview, questioned, 'Does the Union Minister not know what is happening in his own ministry, or did he lie in Parliament by concealing the truth?'

In response, the Ministry of Defense has clarified, 'The Minister's statement is being misrepresented; he said so to refute rumors that pilots had died in Operation Sindoor. Furthermore, the Director General of Military Operations had already informed about the soldiers' sacrifice in a press conference. Awards for their heroic deeds were presented on August 14, 2025.'",Tamil,Dinakaran,NEUTRAL,"[""Unknown""]"
