Sr. No.,Heading,Summary,Time,CCM,Content,Edition,Lnaguage,Publication,Sentiment,Authors
287,DEFENCE MINISTRY CLEARS ₹52K-CR PROCUREMENT PROPOSALS NATION,"The Defence Ministry has approved defense acquisitions worth ₹52,000 crore, a significant step towards strengthening national defense and bolstering military capabilities. These procurements include counter-UAV systems for the Army, pseudo-satellite based surveillance for the Indian Air Force (drawing lessons from the standoff with China), shipborne unmanned aerial systems for the Navy, jet-powered kamikaze drones, anti-tank guided missiles, and various air defense systems, all aimed at significantly enhancing India's intelligence, surveillance, reconnaissance, and defense capabilities against modern threats.",04-07-2026 02:24,532.74,"Approval also granted for pseudo satellite-based surveillance for IAF AJAY BANERJEE TRIBUNE NEWS SERVICE NEW DELHI, JULY 3 Drawing lessons from Operation Sindoor and the military standoff with China, the Defence Ministry on Friday approved a counter-UAV system for the Army and a pseudo satellite-based surveillance platform for the Indian Air Force. A shipborne unmanned aerial system for the Navy and a new category of jet-powered kamikaze drones for the Army were also cleared by the Defence Acquisition Council (DAC), the apex procurement body of the ministry. The DAC, chaired by Defence Minister Rajnath Singh, accorded Acceptance of Necessity (AoN) — the first stage of the acquisition process and an in-principle administrative approval — for proposals worth Rs 52,000 crore. For the Indian Air Force, approval was granted for the procurement of High-Altitude Pseudo-Satellites (HAPS), which will provide persistent intelligence, surveillance and reconnaissance (ISR), telecommunications and remote-sensing capabilities. For the Army, the Defence Acquisition Council approved the procurement of the Akash Tarang anti-UAV system. REPRESENTATIVE PIC The HAPS platforms will feature fixed wings similar to aircraft and will be powered by solar energy and onboard batteries. They are essentially ultra-long-endurance unmanned aerial vehicles that operate in the strato-sphere, typically at an alti-tude of 20 km. A pseudo-satellite flies high enough to perform many functions associated with a geostationary satellite, remaining over a designated geographical area for weeks or even months at a time, but at a fraction of the cost of launching a satellite into space. Unlike conventional satellites, which eventually burn up or become space debris, HAPS can return to base, land on a runway and be redeployed. For the Army, the DAC approved the procurement of the Akash Tarang anti-UAV system, an electronic warfare platform designed to neutralise incoming drones. The Ministry of Defence said the system would provide effective anti-drone pro-tection to Army formations. Rather than relying solely on kinetic interception through guns or missiles, Akash Tarang employs radio-frequency jamming, spoofing and other electronic counter-measures to disrupt the command links and navigation signals of hostile drones. The DAC also approved the procurement of jet-powered kamikaze drones, along with man-portable anti-tank guided missile (MPATGM) systems, medium-range surface-to-air missile (MRSAM) systems and very short-range air defence systems (V-SHORADS). The MPATGM will strengthen infantry units' ability to counter armoured and mechanised threats. The MRSAM system will provide medium-range air defence against a range of aerial threats, while the V-SHORADS will enhance the Army's close-range air defence capability. For the Navy, the DAC approved the procurement of Naval Shipborne Unmanned Aerial Systems (NSUAS). Equipped with advanced sen-sors, these platforms are expected to significantly improve the Navy's situa-tional awareness and surveil-lance capabilities.",Main,English,The Tribune,POSITIVE,[]
288,Counter-UAV systems among ₹52K-cr defence acquisitions,"The Defence Ministry has approved defense acquisitions worth ₹52,000 crore, including counter-UAV systems for the Army and pseudo-satellite based surveillance for the Indian Air Force, drawing lessons from the standoff with China. The approvals also cover shipborne unmanned aerial systems for the Navy, jet-powered kamikaze drones, anti-tank guided missiles, and various air defense systems. These procurements aim to significantly enhance India's intelligence, surveillance, reconnaissance, and defense capabilities against modern threats.",04-07-2026 01:47,346.72,"Approval also granted for pseudo satellite-based surveillance for IAF AJAY BANERJEE TRIBUNE NEWS SERVICE NEW DELHI, JULY 3 Drawing lessons from Operation Sindoor and the military standoff with China, the Defence Ministry on Friday approved a counter-UAV system for the Army and a pseudo satellite-based surveillance platform for the Indian Air Force. A shipborne unmanned aerial system for the Navy and a new category of jet-powered kamikaze drones for the Army were also cleared by the Defence Acquisition Council (DAC), the apex procurement body of the ministry. The DAC, chaired by Defence Minister Rajnath Singh, accorded Acceptance of Necessity (AoN) — the first stage of the acquisition process and an in-principle administrative approval — for proposals worth Rs 52,000 crore. For the Indian Air Force, approval was granted for the procurement of High-Altitude Pseudo-Satellites (HAPS), which will provide persistent intelligence, surveillance and reconnaissance (ISR), telecommunications and remote-sensing capabilities. For the Army, the Defence Acquisition Council approved the procurement of the Akash Tarang anti-UAV system. REPRESENTATIVE PIC The HAPS platforms will feature fixed wings similar to aircraft and will be powered by solar energy and onboard batteries. They are essentially ultra-long-endurance unmanned aerial vehicles that operate in the strato-sphere, typically at an alti-tude of 20 km. A pseudo-satellite flies high enough to perform many functions associated with a geostationary satellite, remaining over a designated geographical area for weeks or even months at a time, but at a fraction of the cost of launching a satellite into space. Unlike conventional satellites, which eventually burn up or become space debris, HAPS can return to base, land on a runway and be redeployed. For the Army, the DAC approved the procurement of the Akash Tarang anti-UAV system, an electronic warfare platform designed to neutralise incoming drones. The Ministry of Defence said the system would provide effective anti-drone pro-tection to Army formations. Rather than relying solely on kinetic interception through guns or missiles, Akash Tarang employs radio-frequency jamming, spoofing and other electronic counter-measures to disrupt the command links and navigation signals of hostile drones. The DAC also approved the procurement of jet-powered kamikaze drones, along with man-portable anti-tank guided missile (MPATGM) systems, medium-range surface-to-air missile (MRSAM) systems and very short-range air defence systems (V-SHORADS). The MPATGM will strengthen infantry units' ability to counter armoured and mechanised threats. The MRSAM system will provide medium-range air defence against a range of aerial threats, while the V-SHORADS will enhance the Army's close-range air defence capability. For the Navy, the DAC approved the procurement of Naval Shipborne Unmanned Aerial Systems (NSUAS). Equipped with advanced sen-sors, these platforms are expected to significantly improve the Navy's situa-tional awareness and surveil-lance capabilities.",Main,English,The Tribune,POSITIVE,"[""AJAY BANERJEE""]"
289,Counter-UAV systems among ₹52K-cr defence acquisitions Approval also granted for pseudo satellite-based surveillance for IAF,"The Defence Ministry has approved defence acquisitions worth ₹52,000 crore, including counter-UAV systems for the Army and pseudo satellite-based surveillance for the Indian Air Force. These procurements, which also include jet-powered kamikaze drones, anti-tank missiles, and various air defence systems, aim to significantly enhance India's defence capabilities and situational awareness across all three services. The acquisitions are a response to lessons learned from recent military standoffs and are designed to counter modern threats effectively.",04-07-2026 01:46,346.72,"AJAY BANERJEE TRIBUNE NEWS SERVICE NEW DELHI, JULY 3 Drawing lessons from Operation Sindoor and the military standoff with China, the Defence Ministry on Friday approved a counter-UAV system for the Army and a pseudo satellite-based surveillance platform for the Indian Air Force. A shipborne unmanned aerial system for the Navy and a new category of jet-powered kamikaze drones for the Army were also cleared by the Defence Acquisition Council (DAC), the apex procurement body of the ministry. The DAC, chaired by Defence Minister Rajnath Singh, accorded Acceptance of Necessity (AoN) — the first stage of the acquisition process and an in-principle administrative approval — for proposals worth Rs 52,000 crore. For the Indian Air Force, approval was granted for the procurement of High-Altitude Pseudo-Satellites (HAPS), which will provide persistent intelligence, surveillance and reconnaissance (ISR), telecommunications and remote-sensing capabilities. For the Army, the Defence Acquisition Council approved the procurement of the Akash Tarang anti-UAV system. REPRESENTATIVE PIC The HAPS platforms will feature fixed wings similar to aircraft and will be powered by solar energy and onboard batteries. They are essentially ultra-long-endurance unmanned aerial vehicles that operate in the stratosphere, typically at an altitude of 20 km. A pseudo-satellite flies high enough to perform many functions associated with a geostationary satellite, remaining over a designated geographical area for weeks or even months at a time, but at a fraction of the cost of launching a satellite into space. Unlike conventional satellites, which eventually burn up or become space debris, HAPS can return to base, land on a runway and be redeployed. For the Army, the DAC approved the procurement of the Akash Tarang anti-UAV system, an electronic warfare platform designed to neutralise incoming drones. The Ministry of Defence said the system would provide effective anti-drone protection to Army formations. Rather than relying solely on kinetic interception through guns or missiles, Akash Tarang employs radio-frequency jamming, spoofing and other electronic countermeasures to disrupt the command links and navigation signals of hostile drones. The DAC also approved the procurement of jet-powered kamikaze drones, along with man-portable anti-tank guided missile (MPATGM) systems, medium-range surface-to-air missile (MRSAM) systems and very short-range air defence systems (V-SHORADS). The MPATGM will strengthen infantry units' ability to counter armoured and mechanised threats. The MRSAM system will provide medium-range air defence against a range of aerial threats, while the VSHORADS will enhance the Army's close-range air defence capability. For the Navy, the DAC approved the procurement of Naval Shipborne Unmanned Aerial Systems (NSUAS). Equipped with advanced sensors, these platforms are expected to significantly improve the Navy's situational awareness and surveillance capabilities.",Himachal,English,The Tribune,Positive,"[""Ajay Banerjee""]"
290,Counter-UAV systems among ₹52K-cr defence acquisitions Approval also granted for pseudo satellite-based surveillance for IAF,"The Defence Ministry has approved defence acquisitions worth ₹52,000 crore, including counter-UAV systems for the Army and pseudo satellite-based surveillance for the Indian Air Force. These procurements, which also include jet-powered kamikaze drones, anti-tank missiles, and various air defence systems, aim to significantly enhance India's defence capabilities and situational awareness across all three services. The acquisitions are a response to lessons learned from recent military standoffs and are designed to counter modern threats effectively.",04-07-2026 01:46,346.72,"AJAY BANERJEE TRIBUNE NEWS SERVICE NEW DELHI, JULY 3 Drawing lessons from Operation Sindoor and the military standoff with China, the Defence Ministry on Friday approved a counter-UAV system for the Army and a pseudo satellite-based surveillance platform for the Indian Air Force. A shipborne unmanned aerial system for the Navy and a new category of jet-powered kamikaze drones for the Army were also cleared by the Defence Acquisition Council (DAC), the apex procurement body of the ministry. The DAC, chaired by Defence Minister Rajnath Singh, accorded Acceptance of Necessity (AoN) — the first stage of the acquisition process and an in-principle administrative approval — for proposals worth Rs 52,000 crore. For the Indian Air Force, approval was granted for the procurement of High-Altitude Pseudo-Satellites (HAPS), which will provide persistent intelligence, surveillance and reconnaissance (ISR), telecommunications and remote-sensing capabilities. For the Army, the Defence Acquisition Council approved the procurement of the Akash Tarang anti-UAV system. REPRESENTATIVE PIC The HAPS platforms will feature fixed wings similar to aircraft and will be powered by solar energy and onboard batteries. They are essentially ultra-long-endurance unmanned aerial vehicles that operate in the stratosphere, typically at an altitude of 20 km. A pseudo-satellite flies high enough to perform many functions associated with a geostationary satellite, remaining over a designated geographical area for weeks or even months at a time, but at a fraction of the cost of launching a satellite into space. Unlike conventional satellites, which eventually burn up or become space debris, HAPS can return to base, land on a runway and be redeployed. For the Army, the DAC approved the procurement of the Akash Tarang anti-UAV system, an electronic warfare platform designed to neutralise incoming drones. The Ministry of Defence said the system would provide effective anti-drone protection to Army formations. Rather than relying solely on kinetic interception through guns or missiles, Akash Tarang employs radio-frequency jamming, spoofing and other electronic countermeasures to disrupt the command links and navigation signals of hostile drones. The DAC also approved the procurement of jet-powered kamikaze drones, along with man-portable anti-tank guided missile (MPATGM) systems, medium-range surface-to-air missile (MRSAM) systems and very short-range air defence systems (V-SHORADS). The MPATGM will strengthen infantry units' ability to counter armoured and mechanised threats. The MRSAM system will provide medium-range air defence against a range of aerial threats, while the VSHORADS will enhance the Army's close-range air defence capability. For the Navy, the DAC approved the procurement of Naval Shipborne Unmanned Aerial Systems (NSUAS). Equipped with advanced sensors, these platforms are expected to significantly improve the Navy's situational awareness and surveillance capabilities.",Haryana,English,The Tribune,POSITIVE,"[""Ajay Banerjee""]"
291,"ANTI-DRONE SYSTEMS, MRSAM, KAMIKAZE DRONES - Centre clears Rs 52,000 cr defence procurement push for armed forces","The Indian Defence Ministry, through its Defence Acquisition Council chaired by Minister Rajnath Singh, has approved capital acquisition proposals totaling Rs 52,000 crore. These significant procurements are aimed at enhancing the operational capabilities and strengthening the multi-layered defense architecture of the Army, Navy, and Air Force. The approvals prioritize indigenous systems, including anti-drone technology, MRSAM, anti-tank missile systems, air defense systems, kamikaze drones, naval mines, and surveillance platforms, to bolster India's preparedness against modern battlefield threats, enhance force protection, and facilitate a transition to technology-driven warfare, thereby boosting domestic manufacturing and reducing reliance on imported military equipment.",04-07-2026 01:30,125.45,"NEW DELHI: With modern warfare increasingly shaped by drones, precision-guided weapons and advanced air defence systems, the Defence Ministry on Friday approved capital acquisition proposals worth about Rs 52,000 crore to strengthen the operational capability of the armed forces. The Defence Acquisition Council (DAC), chaired by Defence Minister Rajnath Singh, accorded Acceptance of Necessity (AoN) for a range of indigenous systems for the Army, Navy and Air Force. The approvals are aimed at enhancing India's preparedness against emerging battlefield threats while boosting the induction of domestically developed defence equipment. For the Indian Army, the DAC cleared procurement of the Anti-Unmanned Aerial Vehicle (UAV) Electronic Warfare System 'Akash Tarang', Man Portable Anti-Tank Guided Missile (MPATGM) systems, Medium Range Surface-to-Air Missile (MRSAM) weapon system, Very Short Range Air Defence System (V-SHORADS), Active Protection System (APS) for tanks and a jet-based kamikaze drone system. The Akash Tarang system is designed to detect, track, jam and disrupt hostile drones used for surveillance, reconnaissance and precision strikes. It is expected to provide protection to military bases, strategic assets, critical infrastructure and border areas against the growing threat posed by unmanned aerial systems and drone swarms. The MPATGM system will enhance the Army's capability to engage enemy tanks and armoured vehicles at short and medium ranges. The missile system is intended to provide greater mobility to infantry units operating in mountainous, desert and urban terrain while reducing dependence on imported anti-tank weapons. The MRSAM weapon system provides air defence against fighter aircraft, helicopters, drones, cruise missiles and precision-guided munitions. Jointly developed by the Defence Research and Development Organisation (DRDO) and Israel Aerospace Industries (IAI), the Barak-8-based system formed a key part of India's air defence network during Operation Sindoor, intercepting aerial threats as part of a layered defence architecture. The Army will also induct the V-SHORADS, which provides por-table air defence against low-fly-ing aircraft, helicopters and drones, particularly in frontline, high-alti-tude and border areas. The coun-cil further approved procurement of the Active Protection System for tanks, which detects and intercepts incoming anti-tank guided mis-siles, rocket-propelled grenades and loitering munitions before they strike, improving the survivability of armoured formations against mod-ern anti-armour threats. The approved jet-based kamikaze drone system will provide the Army with a high-speed precision strike capability against high-value targets, including air defence systems, radar stations, command centres, ammu-nition depots and logistics hubs. Owing to its higher speed, the sys-tem is expected to be more difficult to intercept than conventional pro-peller-driven loitering munitions. For the Indian Navy, the DAC approved procurement of the Multi Influence Ground Mine (MIGM), Naval Shipborne Unmanned Aerial System (NSUAS) and the establish-ment of a Land Based Testing Facil-ity (LBTF) for electric propulsion systems. The MIGM is an advanced sea-bed mine that detects enemy war-ships and submarines through a combination of magnetic, acous-tic and pressure signatures before engaging them. The system is intended to strengthen sea denial capabilities while protecting ports, naval bases and key maritime routes in the Indian Ocean Region. The NSUAS is designed to oper-ate from naval warships, extending surveillance beyond a ship's radar horizon and providing real-time intelligence. It will also support anti-piracy, anti-smuggling and maritime security operations. The proposed Land Based Testing Facility will enable shore-based testing of electric propulsion systems and other criti-cal technologies before they are inte-grated into operational warships. For the Indian Air Force, the council approved procurement of the Fixed-Wing High Altitude Pseudo Satellite (FW-HAPS) and other proposals. The FW-HAPS platform is intended to provide per-sistent intelligence, surveillance and reconnaissance capabilities, besides supporting telecommunications and remote sensing missions over extended durations. According to defence experts, the approved acquisitions address emerging battlefield challenges by strengthening India's multi-lay-ered defence architecture, improv-ing force protection and precision strike capability, and supporting the armed forces' transition towards technology-driven and network-centric warfare. The approvals also align with the government's contin-ued focus on expanding indigenous defence manufacturing and reducing dependence on imported military equipment.",Kolkata,English,The Millennium Post,POSITIVE,"[""SIMONTINI BHATTACHARJEE""]"
292,Counter-UAV systems among ₹52K-cr defence acquisitions Approval also granted for pseudo satellite-based surveillance for IAF,"The Defence Ministry has approved defence acquisitions worth ₹52,000 crore, including counter-UAV systems for the Army and pseudo satellite-based surveillance for the Indian Air Force. These procurements, which also include jet-powered kamikaze drones, anti-tank missiles, and various air defence systems, aim to significantly enhance India's defence capabilities and situational awareness across all three services. The acquisitions are a response to lessons learned from recent military standoffs and are designed to counter modern threats effectively.",04-07-2026 01:20,346.72,"AJAY BANERJEE TRIBUNE NEWS SERVICE NEW DELHI, JULY 3 Drawing lessons from Operation Sindoor and the military standoff with China, the Defence Ministry on Friday approved a counter-UAV system for the Army and a pseudo satellite-based surveillance platform for the Indian Air Force. A shipborne unmanned aerial system for the Navy and a new category of jet-powered kamikaze drones for the Army were also cleared by the Defence Acquisition Council (DAC), the apex procurement body of the ministry. The DAC, chaired by Defence Minister Rajnath Singh, accorded Acceptance of Necessity (AoN) — the first stage of the acquisition process and an in-principle administrative approval — for proposals worth Rs 52,000 crore. For the Indian Air Force, approval was granted for the procurement of High-Altitude Pseudo-Satellites (HAPS), which will provide persistent intelligence, surveillance and reconnaissance (ISR), telecommunications and remote-sensing capabilities. For the Army, the Defence Acquisition Council approved the procurement of the Akash Tarang anti-UAV system. REPRESENTATIVE PIC The HAPS platforms will feature fixed wings similar to aircraft and will be powered by solar energy and onboard batteries. They are essentially ultra-long-endurance unmanned aerial vehicles that operate in the stratosphere, typically at an altitude of 20 km. A pseudo-satellite flies high enough to perform many functions associated with a geostationary satellite, remaining over a designated geographical area for weeks or even months at a time, but at a fraction of the cost of launching a satellite into space. Unlike conventional satellites, which eventually burn up or become space debris, HAPS can return to base, land on a runway and be redeployed. For the Army, the DAC approved the procurement of the Akash Tarang anti-UAV system, an electronic warfare platform designed to neutralise incoming drones. The Ministry of Defence said the system would provide effective anti-drone protection to Army formations. Rather than relying solely on kinetic interception through guns or missiles, Akash Tarang employs radio-frequency jamming, spoofing and other electronic countermeasures to disrupt the command links and navigation signals of hostile drones. The DAC also approved the procurement of jet-powered kamikaze drones, along with man-portable anti-tank guided missile (MPATGM) systems, medium-range surface-to-air missile (MRSAM) systems and very short-range air defence systems (V-SHORADS). The MPATGM will strengthen infantry units' ability to counter armoured and mechanised threats. The MRSAM system will provide medium-range air defence against a range of aerial threats, while the VSHORADS will enhance the Army's close-range air defence capability. For the Navy, the DAC approved the procurement of Naval Shipborne Unmanned Aerial Systems (NSUAS). Equipped with advanced sensors, these platforms are expected to significantly improve the Navy's situational awareness and surveillance capabilities.",Delhi,English,The Tribune,POSITIVE,"[""Ajay Banerjee""]"
293,DEFENCE MINISTRY CLEARS ₹52K-CR PROCUREMENT PROPOSALS NATION,"The Indian Defence Ministry has approved defence acquisitions worth ₹52,000 crore, a national-level decision aimed at strengthening the country's defence capabilities. These procurements include counter-UAV systems for the Army, pseudo satellite-based surveillance for the Indian Air Force, jet-powered kamikaze drones, anti-tank missiles, and various air defence systems. These acquisitions are designed to significantly enhance India's defence capabilities and situational awareness across all three services, responding to lessons learned from recent military standoffs and effectively countering modern threats.",04-07-2026 01:20,27.52,"Defence Ministry clears procurement proposals worth ₹52,000 crore. AJAY BANERJEE TRIBUNE NEWS SERVICE NEW DELHI, JULY 3 Drawing lessons from Operation Sindoor and the military standoff with China, the Defence Ministry on Friday approved a counter-UAV system for the Army and a pseudo satellite-based surveillance platform for the Indian Air Force. A shipborne unmanned aerial system for the Navy and a new category of jet-powered kamikaze drones for the Army were also cleared by the Defence Acquisition Council (DAC), the apex procurement body of the ministry. The DAC, chaired by Defence Minister Rajnath Singh, accorded Acceptance of Necessity (AoN) — the first stage of the acquisition process and an in-principle administrative approval — for proposals worth Rs 52,000 crore. For the Indian Air Force, approval was granted for the procurement of High-Altitude Pseudo-Satellites (HAPS), which will provide persistent intelligence, surveillance and reconnaissance (ISR), telecommunications and remote-sensing capabilities. For the Army, the Defence Acquisition Council approved the procurement of the Akash Tarang anti-UAV system. The HAPS platforms will feature fixed wings similar to aircraft and will be powered by solar energy and onboard batteries. They are essentially ultra-long-endurance unmanned aerial vehicles that operate in the stratosphere, typically at an altitude of 20 km. A pseudo-satellite flies high enough to perform many functions associated with a geostationary satellite, remaining over a designated geographical area for weeks or even months at a time, but at a fraction of the cost of launching a satellite into space. Unlike conventional satellites, which eventually burn up or become space debris, HAPS can return to base, land on a runway and be redeployed. For the Army, the DAC approved the procurement of the Akash Tarang anti-UAV system, an electronic warfare platform designed to neutralise incoming drones. The Ministry of Defence said the system would provide effective anti-drone protection to Army formations. Rather than relying solely on kinetic interception through guns or missiles, Akash Tarang employs radio-frequency jamming, spoofing and other electronic countermeasures to disrupt the command links and navigation signals of hostile drones. The DAC also approved the procurement of jet-powered kamikaze drones, along with man-portable anti-tank guided missile (MPATGM) systems, medium-range surface-to-air missile (MRSAM) systems and very short-range air defence systems (V-SHORADS). The MPATGM will strengthen infantry units' ability to counter armoured and mechanised threats. The MRSAM system will provide medium-range air defence against a range of aerial threats, while the VSHORADS will enhance the Army's close-range air defence capability. For the Navy, the DAC approved the procurement of Naval Shipborne Unmanned Aerial Systems (NSUAS). Equipped with advanced sensors, these platforms are expected to significantly improve the Navy's situational awareness and surveillance capabilities.",Delhi,English,The Tribune,Positive,[]
294,Anger against MLA Srinivas Mane,"Local MLA Srinivas Mane faces criticism for not visiting Hanagal taluk after an assault in Marakan, with Backward Classes Vice President Siddalingappa Kadedar accusing him of evading responsibility. The article highlights continuous attacks on Hindus, including a recent death in Rettehalli, and mentions BJP State President B.Y. Vijayendra's visit to console victims. Concerns were raised over Vijayendra's statement, ""we are not in Pakistan, but in India,"" amidst calls for strict police action.",04-07-2026 01:19,95.52,"Hanagal: Even after four days since the assault in Marakan, local MLA Srinivas Mane has not visited the taluk, which is a matter of controversy, said Backward Classes Vice President Siddalingappa Kadedar. Speaking at a press conference in Hanagal on Thursday, he said that Hindus are being continuously attacked. In Naragal, Hanagal taluk, those who threatened to bury people after a violent incident involving a car have issued a statement. No one can justify the assault. BJP State President B.Y. Vijayendra visited Naragal, consoled the assaulted families, and met those receiving treatment in the hospital. MLA Srinivas Mane is using this for political gain, thereby evading his responsibility, he fumed. The police department should take strict action to prevent such incidents as Naragal from recurring. Following the Naragal incident, a Hindu in Mylar, Rettehalli, Haveri district, was assaulted by people from another community and died. He said that as BJP State President Vijayendra stated, ""we are not in Pakistan, but in India,"" which has raised concerns. Ram Ayyoor, Siddalingappa Tummad, Jagadish, Sindoor, and Vishwanath Bheemavat were present at the press conference.",Hubballi,Kannada,Hosa Digantha,NEUTRAL,[]
295,Cong alleges Centre's 'capitulation' to China amid rising trade deficit and border concerns,"The Congress has accused the Narendra Modi government of ""capitulation"" to China, citing a rising trade deficit and ongoing border tensions as evidence of a failed approach. Congress leader Jairam Ramesh alleged that the government's policies have weakened India's strategic and economic interests, pointing to China's aggressive posture and its role in supporting Pakistan. The opposition also criticized the Prime Minister's remarks after the 2020 Galwan Valley clash and the continued expansion of bilateral trade despite these concerns.",04-07-2026 01:18,575.36,"STATESMAN NEWS SERVICE New Delhi, 3 July The Congress on Friday accused the Narendra Modi government of pursuing a policy of “capitulation” towards China despite mounting strategic and economic challenges, alleging that India’s record trade deficit with its northern neighbour and continuing border tensions reflected a failure of the Centre’s approach. In a statement, Congress general secretary in charge of communications, Jairam Ramesh claimed that the government’s policy towards China had weakened India’s strategic and economic interests. “The Modi govt’s calibrated capitulation to China continues even as India’s trade deficit with that country reaches record levels destroying large sections of our industry, especially MSMEs,” Ramesh said. The Congress leader alleged that China continues to adopt an aggressive posture along the border and undertake activities that affect India’s security and water resources. “China’s provocative actions regarding Arunachal Pradesh are unabated. The world’s largest hydroelectric project in Medog continues, imperilling India’s water security in relation to the Brahmaputra. India’s traditional patrolling and herding rights in many places in Eastern Ladakh have been given up,” he alleged. Referring to the 2020 border clash in eastern Ladakh, Ramesh renewed the Opposition’s criticism of Prime Minister Narendra Modi’s remarks following the Galwan Valley incident. “The Prime Minister infamously gave a public chit to China on 19 June, 2020 even after twenty of our brave armed forces personnel were martyred in Ladakh,” he said. Ramesh also referred to China’s alleged role in supporting Pakistan during Operation Sindoor, citing recent remarks by the Deputy Chief of Army Staff. “China’s pivotal role in Pakistan’s actions during Operation Sindoor was acknowledged by the Deputy Chief of Army Staff and is documented,” he added. “And yet the capitulation to China continues apace,” Ramesh added. The Congress has repeatedly criticised the Centre’s handling of relations with China since the military standoff that began in eastern Ladakh in 2020, alleging that the government has failed to adequately address border and economic concerns while allowing bilateral trade with China to expand. The Centre has consistently maintained that it is firmly safeguarding India’s territorial integrity, strengthening border infrastructure and pursuing diplomatic and military engagement to maintain peace and tranquillity along the Line of Actual Control, while taking measures to reduce strategic dependence on imports and promote domestic manufacturing.",Kolkata,English,The Statesman,NEGATIVE,[]
296,Congress alleges Centre's 'capitulation' to China amid rising trade deficit and border concerns,"The Congress party has accused the Narendra Modi government of pursuing a policy of 'capitulation' towards China, citing a record trade deficit and ongoing border tensions as evidence of a failed approach. Congress leader Jairam Ramesh criticized the government's handling of the 2020 Ladakh border clash and China's aggressive actions, alleging a weakening of India's strategic and economic interests. The Centre, however, maintains it is safeguarding territorial integrity and promoting domestic manufacturing.",04-07-2026 01:14,193.27,"STATESMAN NEWS SERVICE New Delhi, 3 July The Congress on Friday accused the Narendra Modi government of pursuing a policy of 'capitulation' towards China despite mounting strategic and economic challenges, alleging that India's record trade deficit with its northern neighbour and continuing border tensions reflected a failure of the Centre's approach. In a statement, Congress general secretary in charge of communications Jairam Ramesh claimed that the government's policy towards China had weakened India's strategic and economic interests. ""The Modi govt's calibrated capitulation to China continues even as India's trade deficit with that country reaches record levels destroying large sections of our industry, especially MSMEs,"" Ramesh said. The Congress leader alleged that China continues to adopt an aggressive posture along the border and undertake activities that affect India's security and water resources. ""China's provocative actions regarding Arunachal Pradesh are unabated. The world's largest hydroelectric project in Medog continues, imperilling India's water security in relation to the Brahmaputra. India's traditional patrolling and herding rights in many places in Eastern Ladakh have been given up,"" he alleged. Referring to the 2020 border clash in eastern Ladakh, Ramesh renewed the Opposition's criticism of Prime Minister Narendra Modi's remarks following the Galwan Valley incident. ""The Prime Minister infamously gave a public chit to China on 19 June, 2020 even after twenty of our brave armed forces personnel were martyred in Ladakh,"" he said. Ramesh also referred to China's alleged role in supporting Pakistan during Operation Sindoor, citing recent remarks by the Deputy Chief of Army Staff. ""China's pivotal role in Pakistan's actions during Operation Sindoor was acknowledged by the Deputy Chief of Army Staff and is documented,"" he added. ""And yet the capitulation to China continues apace,"" Ramesh added. The Congress has repeatedly criticised the Centre's handling of relations with China since the military standoff that began in eastern Ladakh in 2020, alleging that the government has failed to adequately address border and economic concerns while allowing bilateral trade with China to expand. The Centre has consistently maintained that it is firmly safeguarding India's territorial integrity, strengthening border infrastructure and pursuing diplomatic and military engagement to maintain peace and tranquillity along the Line of Actual Control, while taking measures to reduce strategic dependence on imports and promote domestic manufacturing.",Bhubaneswar,English,The Statesman,NEGATIVE,[]
