 Sr. No.,Headline,Sentiment,Tags,CreatedAt,Handle,Likes,Engagement,Language,URL
53,"The names of the six soldiers martyred in Operation Sindoor,which took place in May 2025, have now been officially released by the government .For strategic and national security reasons, information is not shared during operations to prevent enemy forces from receiving accurate information about strategic losses.
The five brave soldiers martyred were from the Army and one from the Air Force . Their list and rank are as follows:
Subedar Major Pawan Kumar - Indian Army 1
Rifleman Sunil Kumar (Vir Chakra) - Indian Army 
Lance Naik Dinesh Kumar - Indian Army 
Agniveer Mood Murali Naik - Indian Army
Havildar Sunil Kumar Singh - Indian Army 
Sergeant Surendra Kumar (Vayu Sena Medal) - Indian Air Force 
The names of these brave martyrs are now forever inscribed on the 'Tyag Chakra' of the National War Memorialin New Delhi 
#operationsindoor #indiansoldiers #navy #airforce1 #army",Positive,Post ,27.06.2026,cjp_madhya_pradeshmp13,15.1K,314969,English,https://www.instagram.com/p/DaFjz9Vq5zA/
54,Operation Sindoor: Government Reveals Names of the Martyred Soldiers,Positive,Post,28.06.2026,newsspecial24x7,36,325,English,https://www.instagram.com/reel/DaIIf7mxpRq/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
55,"Operation Sindoor sparked controversy after Defence Minister Rajnath Singh told Parliament that no Indian soldiers were killed during the operation. Later, the government acknowledged that six Indian soldiers had been martyred during Operation Sindoor. This contradiction has raised questions about transparency and accountability, with many people asking why the information was not disclosed earlier.

#OperationSindoor #IndianArmy #RajnathSingh #IndiaNews #BreakingNews",Negative,"Post
(No comments)",28.06.2026,factexpress1268,136,4721,English,https://www.instagram.com/reel/DaHJHqzC-Wd/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
56,"The government has officially released the names of six Indian soldiers who were killed in action during Operation Sindoor, marking the first public disclosure of their identities since the operation. The personnel were martyred during the cross-border military action carried out in response to the Pahalgam terror attack. Their names have also been added to the National War Memorial’s Roll of Honour as a formal tribute. As per officials, the disclosure is part of efforts to formally recognize and honour the sacrifices made during the operation.",Positive,"Post
 (No Comments)",27.06.2026,thesachtalk,210,13709,English,https://www.instagram.com/reel/DaFcBrZzFGf/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
57,"A fresh political controversy has erupted over the disclosure of casualties during Operation Sindoor. 🇮🇳🕊️
The debate intensified after the government officially released the names of six soldiers martyred during the operation. Opposition leaders have questioned why the names were disclosed much later and whether greater transparency was needed regarding military casualties.
Responding to the controversy, the Ministry of Defence has stated that information regarding the deaths of the six soldiers was never hidden. According to the ministry, the then DGMO publicly paid tribute to the fallen soldiers during an official press briefing held on May 11, 2025, soon after the operation concluded.
The Centre has also rejected allegations that the sacrifices of the soldiers were concealed, arguing that previous statements made in Parliament should be viewed in their full context.
The issue has now become the subject of intense political debate, with questions being raised about transparency, communication, and public accountability.
What are your thoughts on the controversy? Share your opinion respectfully in the comments.

VIDEO CREDIT:
🎥: News Reports / Official Sources

FOLLOW:
Follow @acp_fact for more updates

FAIR USE DISCLAIMER:
This content is shared for news reporting, educational, and commentary purposes under fair use principles. We do not claim ownership of any media used. All rights belong to their respective owners. Statements mentioned reflect the views of the individuals and organizations concerned.

#OperationSindoor #IndianArmy #RajnathSingh #Politics #Martyrs India CurrentAffairs Trending NewsUpdate NationalSecurity",Negative,Post,28.06.2026,acp_fact,,5024,English,https://www.instagram.com/reel/DaHzvLJRBY9/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
58,"Operation Sindoor: 6 Indian Soldiers Were Martyred. Was Their Sacrifice Hidden for 13 Months? Questions Raised Over Statements in Parliament by Rajnath Singh and the Modi Government.
#OperationSindoor #IndianArmy #Martyrs #NationalSecurity #RajnathSingh,",Negative,Post,28.06.2026,thelikeindia,6.1K,108116,English,https://www.instagram.com/reel/DaHk2Xqtk74/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
59,"🇮🇳 India has officially released the names of the six soldiers who were martyred during Operation Sindoor in May 2025. 🕊️

As a lasting tribute to their supreme sacrifice, their names will be engraved on special commemorative bricks at the National War Memorial, ensuring their courage and service are remembered for generations. 🙏

#OperationSindoor #IndianArmy #NationalWarMemorial #India #trendingnow",Positive,"Post
(No comments)",26.06.2026,bslensinsta,,3668,English,https://www.instagram.com/reel/DaCYIFcMCFE/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
60,"Govt reveals names of 6 soldiers Martyred in action during Operation Sindoor

Subedar Major Pawan Kumar (Indian Army)
Rifleman Sunil Kumar, Vir Chakra (Indian Army)
Lance Naik Dinesh Kumar (Indian Army)
Aviation Technician Mood Muralinaik (Indian Army)
Havildar Sunil Kumar Singh (Indian Army)
Sergeant Surendra Kumar, Vayu Medal (Indian Air Force)

[ Operation Sindoor, Indian Army, Indian Airforce, Indian Government ]

#operationsindoor #indianpatriot #indianarmy❤️",Positive,"Post
(No Comments)",26.06.2026,"dehatimedia
",1,1152,English,https://www.instagram.com/reel/DaDlqalx3x0/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
61,"On June 26, 2026 — 14 months after Operation Sindoor — the Government of India quietly added the names of six martyred soldiers to the National War Memorial's Roll of Honour. No ceremony. No announcement. Just names, added silently.

But cast your mind back to July 28, 2025, when Defence Minister Rajnath Singh stood in Parliament and declared, ""Were any of our brave soldiers harmed in this operation? The answer is no. None of our soldiers were harmed."" 

The six martyrs are Subedar Major Pawan Kumar, Rifleman Sunil Kumar (Vir Chakra), Lance Naik Dinesh Kumar, Agniveer Murali Naik, Havildar Sunil Kumar Singh, and IAF Sergeant Surendra Kumar — five Army personnel and one Air Force sergeant who gave their lives for this nation. 

One important thing must be said clearly — do not spread rumours or unverified claims. The truth here comes directly from the government's own National War Memorial records. When the government itself inscribes their names, this is not rumour — this is documented fact.

Their names were not revealed even on Independence Day. No citations of their acts were released. Their families watched as the nation celebrated Operation Sindoor's success — while the men who paid the ultimate price remained unnamed and unacknowledged. 

These brave soldiers deserved better. Their families deserved better. Their sacrifice deserved better.

Do you think India's martyred soldiers should always be publicly honoured and acknowledged — regardless of political considerations?

#operationsindoor #indianarmy #nationalwarmemorial #jaihind #viralvideos 

Note: This content is for awareness purposes only. We do not own it. If you are the rightful owner and have any issue, please DM us. We will remove or credit it promptly.",Negative,"Post 
(No Comments)",27.06.2026,indians_duniya,62,2643,English,https://www.instagram.com/reel/DaGKX1-OnR3/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
62,"BREAKING: The Government of India has officially disclosed the names of six Indian Armed Forces personnel who were martyred during Operation Sindoor, marking the first official public acknowledgment of the fallen soldiers.

The disclosure has reignited debate because earlier statements during the Operation Sindoor discussion in Parliament had been interpreted by many as indicating that no soldiers were harmed during the operation.

Big Question: Did the government's earlier communication accurately reflect the casualties of Operation Sindoor?

🇮🇳 Salute to the six bravehearts for their supreme sacrifice.",Negative,"Post
(No Comments)",27.06.2026,genz.radar,,844,English,https://www.instagram.com/reel/DaFyTGEsuAM/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
63,"🇮🇳 India Publicly Releases Names of Soldiers Martyred During Operation Sindoor

🔹 In a first-of-its-kind move, the Government of India has publicly released the names of six soldiers who lost their lives during Operation Sindoor, paying tribute to their courage and sacrifice. The decision has been described as a step towards greater transparency while honouring the armed forces and acknowledging the supreme sacrifice made by the personnel.

🔹 The families of the fallen soldiers have been informed, and tributes have poured in from across the country. Officials said the release of the names is intended to preserve the legacy of the martyrs and ensure the nation remembers their service. The announcement has also renewed public recognition of the role played by the armed forces during Operation Sindoor.

📅 26 JUNE 2026

India Core News

#OperationSindoor #IndianArmy #Martyrs #ArmedForces #India NationalSecurity BreakingNews IndiaNews

🗳 POLL:
Should the names of soldiers who make the supreme sacrifice be publicly honoured to preserve their legacy?",Positive,Post ,26.07.2026,india_core_news,28,1845,English,https://www.instagram.com/reel/DaDhDMpJmD4/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
64,"Why were the names of the six Indian soldiers martyred during Operation Sindoor kept from the nation for nearly a year?

If our brave soldiers made the supreme sacrifice, why wasn't the country informed in time?",Negative,"Post
(No comments)",27.06.2026,surajgnaik,7,162,English,https://www.instagram.com/reel/DaFRJ3hjTd6/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
65,"The Indian Government has officially released the names of the six military personnel martyred during Operation Sindoor (May 2025). Their names are inscribed on the Tyag Chakra at the National War Memorial in New Delhi. 
The six bravehearts are:

Subedar Major Pawan Kumar

Rifleman Sunil Kumar (awarded Vir Chakra)

Lance Naik Dinesh Kumar

Agniveer Mood Murali Naik

Havildar Sunil Kumar Singh

Sergeant Surendra Kumar (awarded Vayu Medal)

#testbook #govtexams #operationsindoor
#operationsindoor🇮🇳",Positive,Post ,27.06.2026,currentaffairs.news,1.9K,,English,https://www.instagram.com/p/DaFn7SXE1mm/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
66,"The government lied on Operation Sindoor.

झूठों के सरकार हैं ये!

हर जगह झूठ!

After a year-long wait, India finally named the six brave soldiers martyred during Operation Sindoor:
• Subedar Major Pawan Kumar
• Rifleman Sunil Kumar
• Lance Naik Dinesh Kumar
• Agniveer Mood Murali Naik
• Havildar Sunil Kumar Singh
• Sergeant Surendra Kumar

A nation’s heroes deserved to be remembered from day one. The delay raises serious questions about transparency and accountability.

#operationsindoor #indianarmy #martyr #parliament #rajnathsingh
",Negative,"Post
(No comments)",27.06.2026,modi_nonbiological,24,921,English,https://www.instagram.com/reel/DaFG7wZoMq6/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
67,"Soldiers laid down their lives, yet the nation was told that no one had died. Now, more than a year later, we are being told that 6 brave jawans were martyred during Operation Sindoor.

How can such crucial information be misrepresented, especially in the Parliament of India? The sacrifice of our soldiers is not a statistic—it is a matter of national honour.

While the entire nation deserves answers, my thoughts are with the families of those brave soldiers. What must they have felt watching the country being told that no lives were lost?

Every martyr deserves recognition. Every family deserves respect. And every citizen deserves the truth.

Jai Hind 🇮🇳

#OperationSindoor #MartyrsOfIndia #IndianArmy #JaiHind #NationFirst",Negative,Post,28.06.2026,sudipt_kaushik,3,198,English,https://www.instagram.com/reel/DaHdOnpPngX/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
68,"The government lied on Operation Sindoor. 

झूठों के सरकार हैं ये! 

हर जगह झूठ!

After a year-long wait, India finally named the six brave soldiers martyred during Operation Sindoor:
• Subedar Major Pawan Kumar
• Rifleman Sunil Kumar
• Lance Naik Dinesh Kumar
• Agniveer Mood Murali Naik
• Havildar Sunil Kumar Singh
• Sergeant Surendra Kumar

A nation’s heroes deserved to be remembered from day one. The delay raises serious questions about transparency and accountability.",Negative,Post,27.06.2026,sanjaydekaflj,7.2K,135527,English,https://www.instagram.com/reel/DaE2kIhssgy/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
