Sr. No.,Link,Headline,Channel,Summary,Translation unavailable,Language,Date & Time,Semtiment,Likes,Comments
44,https://www.youtube.com/watch?v=qRIs06mH_dg,Operation Sindoor: Modi-Rajnath greatly insulted the bravehearts who sacrificed for the country!,DESH NEETI,"During Operation Sindoor, six bravehearts including Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Murli Nayak, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar, made the supreme sacrifice for the country. The speaker alleges that the Narendra Modi government initially denied these sacrifices but has now admitted them. The speaker references July 2025 when then-Defense Minister Rajnath Singh stated in Parliament that no casualties occurred, which is described as deliberately misleading Parliament. This is deemed an insult and mockery of the martyrs' sacrifice, presented as the true nature of the Modi government.","Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Murli Nayak, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar. These are the six bravehearts of this country who sacrificed their lives in the defense of this country during Operation Sindoor. And it was Narendra Modi's government that worked to deny the sacrifice of these six bravehearts, their supreme sacrifice. Now the government has admitted that these six bravehearts were martyred during Operation Sindoor. But I also remember that day, July 2025, when Rajnath Singh, as Defense Minister, stood in Parliament and said that not a single soldier had sacrificed their life, not even a slight loss had occurred. This was a deliberate attempt to mislead Parliament. If you want to ask a question, ask this: 'Were our brave soldiers harmed in this operation?' The answer is no. A lie was told in Parliament, and a minister told a lie. This is not just contempt of Parliament, not just a breach of parliamentary privileges, it is actually an insult to the supreme sacrifice of our bravehearts, their martyrdom, it is a mockery of it. This sin of making them anonymous was committed by this government. And what is its punishment, you decide. But the reality is that repeatedly making a mockery of their martyrdom, disrespecting their sacrifice, this is the reality of the Modi government. During Operation Sindoor, our six bravehearts were martyred, which the government has now had to admit, about which the government told a blatant lie in Parliament.",Hindi,28-06-2026 06:38,NEGATIVE,0,0
45,https://www.youtube.com/watch?v=52dECvLnNw8,Supriya Shrinate cornered the Modi government on the issue of martyrdom of jawans in Operation Sindoor,Ajit Anjum,"A Congress leader, Supriya Shrinate, criticized the Narendra Modi government over the martyrdom of six soldiers during 'Operation Sindoor', including Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Murli Naik, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar. She alleged that the government initially denied their supreme sacrifice. The leader recalled that in July 2025, then Defense Minister Rajnath Singh falsely stated in Parliament that no soldiers were harmed. She condemned this as a deliberate attempt to mislead Parliament, a blatant lie, and an insult to the martyrs' sacrifice, accusing the government of making them anonymous. She concluded by stating that the government has now been forced to admit the martyrdom, contradicting its previous false statements in Parliament.","Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Murli Naik, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar. These are the six bravehearts of this country who sacrificed their lives in the defense of this country during Operation Sindoor. And denying the sacrifice of these six bravehearts, denying their supreme sacrifice, was done by the Narendra Modi government. Now the government has admitted that these six bravehearts were martyred during Operation Sindoor. But I also remember that day, July 2025, when then Defense Minister Rajnath Singh stood in Parliament and said that not a single jawan, not a single soldier had sacrificed his life, there was no damage whatsoever. This was a deliberate attempt to mislead Parliament. A lie was spoken in Parliament, and a minister spoke that lie. This is not just contempt of Parliament; it is not just a breach of parliamentary privileges. This is, in fact, an insult, a mockery of the supreme sacrifice, the martyrdom of our bravehearts. This sin of making them anonymous was committed by this government, and what its punishment should be, you decide. But the reality is that repeatedly mocking their martyrdom, disrespecting their sacrifice – this is the reality of the Modi government. Six of our bravehearts were martyred during Operation Sindoor, which the government has now had to grudgingly admit, regarding which the government had told a blatant lie in Parliament.",Hindi,28-06-2026 05:50,NEGATIVE,128,4
46,https://www.youtube.com/watch?v=09CPi2Hv4Gk,"6 Soldiers Martyred, A Lie in Parliament | Modi Government's Biggest Deception",Indian National Congress,"The Narendra Modi government is accused of denying the martyrdom of six soldiers for PR. Defense Minister Rajnath Singh allegedly lied in Parliament, stating no casualties occurred during 'Operation Sindoor', thereby insulting the martyrs. The speaker calls for Narendra Modi to be ashamed.","Narendra Modi denied the martyrdom of soldiers for his PR. Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Murali Naik, Havildar Sunil Kumar Singh, Sergeant Surendra Kumar. During 'Operation Sindoor', six of our soldiers were martyred. But the country's Defense Minister Rajnath Singh lied in Parliament, stating that no casualties occurred. This is not only contempt of the house but also an insult to those martyrs whose sacrifice the Modi government denied to save its image. Narendra Modi should be ashamed.",Hindi,28-06-2026 04:45,NEGATIVE,0,28
47,https://www.youtube.com/watch?v=yQh1eLGhbjA,New revelation shamed the entire country,Sakshi Joshi,"The speaker accuses Defense Minister Rajnath Singh of lying in Parliament about the martyrdom of soldiers in 'Operation Sindoor'. Last July, the minister stated no soldiers were martyred, but now the government admits six soldiers died in the operation. The speaker questions this contradiction and asks if the minister knowingly lied in Parliament. They also list the names of the six martyred soldiers: Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Mood Murali Naik, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar, calling it a great injustice to the nation.","If those who call the country's Parliament the temple of democracy go there and lie, then what kind of patriotism is this? Today the government is admitting and saying that six of our brave soldiers, six soldiers, were martyred in Operation Sindoor. But if you remember, last year in July, the country's Defense Minister went to Parliament and said that there was no martyrdom. No soldier died. Let me first take you back to 2014, let's start from there and then tell you what the country's Defense Minister said. Because in 2014, everyone saw this picture, when the entire country, bowing down to Parliament, thought, ""What a Prime Minister the country has got!"" He was seen respecting Parliament in this way. And right there, the Defense Minister of their own government, Rajnath Singh, was thumping the table, and the entire government seemed to acknowledge this one year ago: that no soldier lost their life in Operation Sindoor. So how are you admitting today that six soldiers died? And if six soldiers died, and this is the truth, this is fact, then you lied in Parliament. And if you lied in Parliament, then was that table-thumping for the martyrdom of those six soldiers? This incident is from July 28, 2025, when the Defense Minister came to the Lok Sabha, and naturally, the opposition started asking him questions about Operation Sindoor. So, regarding the questions they had on Operation Sindoor, what questions should have been asked, the Defense Minister, puffing out his chest, started saying, ""If you want to ask a question, then ask if any of our brave soldiers were harmed in this operation."" His answer was, ""No."" ""If you want to ask a question, then ask if any of our brave soldiers were harmed in this operation. So its answer is, 'No'."" As soon as this was heard, people from the ruling party were seen thumping tables and clapping. Did the Defense Minister not know, or did he know and lied in Parliament? And because a great injustice was done to those six heroes, and the country is finding out a year later, it is very important for you all to know their names. Subedar Major Pawan Kumar, who was from Headquarters 10 Infantry Brigade. Rifleman Sunil Kumar, Vir Chakra. 4 Jammu Kashmir Light Infantry. Lance Naik Dinesh Kumar, 5 Field Regiment. Aviation Technician Mood Murali Naik. 851 Light Regiment. Havildar Sunil Kumar Singh, 237 Field Workshop Company. Sergeant Surendra Kumar, Vayu Medal, 39 Wing.",Hindi,28-06-2026 03:40,NEGATIVE,240,11
48,https://www.youtube.com/watch?v=6kXlfg0eVXI,"Rajnath Singh caught by his statement in Parliament, even devotees can't find an answer || Ashok Kumar Pandey",The Credible History,"A year after Operation Sindoor, the government acknowledged six martyrs and added their names to the Roll of Honour. The speaker questions why the government, including Defense Minister Rajnath Singh, Home Minister Amit Shah, and Prime Minister Narendra Modi, initially stated in Parliament that no soldier was killed, and why they did not pay tribute to these martyrs when the news was already circulating in the media and Congress had offered condolences. The speaker alleges that the government only sought political gain from Operation Sindoor, similar to how it handled Pulwama during an election period. He notes that while Modi's photos were displayed, the martyrs' photos were not. The speaker believes the government feared that acknowledging these deaths would bring disgrace and damage its image.","One year after Operation Sindoor, the government acknowledged that six people were martyred. Their names were added to the Roll of Honour, officially registering them as martyrs. You know that news. When this news came out in newspapers, we asked why the government took a year to acknowledge it. Then the entire troll army came out and started saying, 'Oh, it was known at that time itself.' Priyanka Gandhi had posted about these six martyrs and paid tribute. And they are saying that everyone knew. My question is very straightforward: if Scroll was publishing this news in May, then why was Defense Minister Rajnath Singh saying in Parliament in July that not a single one of our soldiers was killed? My direct question is, Congress was paying tribute, Congress is not the government. Why was the government not paying tribute? Why did Rajnath Singh ji not pay tribute to these six martyrs? He was the Defense Minister. Why has the Bharatiya Janata Party, which politicizes the army's name, not paid tribute to these six martyrs yet? Why did Amit Shah ji, who is the Home Minister, not pay tribute to these six martyrs? Why did Narendra Modi, who is the Prime Minister of the country, not pay tribute to these six martyrs? Was Operation Sindoor merely meant to gain political advantage? Big photos of Modi ji were to be put on petrol pumps, why were the photos of these martyrs not put up? Modi ji did not go to fight. These martyrs were martyred fighting against Pakistan. Why were their photos not put up? Why did no statement come from the government saying that Rajnath Singh ji said something wrong in Parliament? In fact, six people were killed. Congress knew it, we also knew it, but back then, a year ago, when we were saying that our people were martyred, these BJP supporters and sanghi trolls came and said that 'they are lying, they are defaming the country.' In fact, they reach the battleground, but from fighting, they only want political gain. Let me tell you that when Pulwama happened, these people went to the home of every martyr. The body of every martyr was taken out in a procession because there were elections in the country. But in Operation Sindoor, when our six people were killed, neither was there any procession for them, nor was there any big news about them, nor did any political leader from the Bharatiya Janata Party or minister go to their homes. Why? Because they felt that it would bring disgrace to the country if people knew that our people were killed in Operation Sindoor. The same thing happened with the case of planes crashing; they kept denying it, and army officers confirmed that planes had crashed. The image they try to build, that image breaks just like that. Their 'insects' (derogatory term for supporters) come and post Congress's statements saying that everyone knew beforehand. As if it was the Congress government, they don't think why BJP did not pay tribute. You think and tell me.",Hindi,28-06-2026 03:30,NEGATIVE,43,1
49,https://www.youtube.com/watch?v=xYH4ECUNEGk,Why did Supriya Shrinate lash out at the government over the naming of 6 martyrs in Operation Sindoor?,News 24,"The speaker names six soldiers martyred during 'Operation Sindoor' (Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Murli Nayak, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar). The speaker criticizes the Narendra Modi government for initially denying these sacrifices and then admitting them. She recalls that in July 2025 (likely a slip of the tongue for an earlier year), then Defense Minister Rajnath Singh stated in Parliament that no soldier had died during the operation, accusing the government of deliberately misleading Parliament and insulting the martyrs' supreme sacrifice. She describes this act of making the martyrs anonymous as a 'sin' committed by the government, stating that repeatedly mocking and disrespecting their martyrdom is the reality of the Modi government.","Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Murli Nayak, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar. These were the six bravehearts of this country who sacrificed their lives in the defense of this nation during Operation Sindoor. And it was Narendra Modi's government that denied the sacrifice, the supreme martyrdom, of these six bravehearts. Now the government has admitted that these six bravehearts were martyred during Operation Sindoor, but I also remember that day, July 2025, when Rajnath Singh, while being the Defense Minister, stood in Parliament and said that not a single soldier had sacrificed their life, not even a slight loss had occurred. This was a deliberate attempt to mislead Parliament. A lie was told in Parliament, and a minister told a lie. This is not just contempt of Parliament, it's not just a breach of parliamentary privileges, it is actually an insult to the supreme sacrifice of our bravehearts, it is making a mockery of it. This government committed the sin of making them anonymous. And what its punishment is, you decide. But the reality is that repeatedly mocking their martyrdom, disrespecting their sacrifice, this is the reality of the Modi government. During Operation Sindoor, our six bravehearts were martyred, which the government has now had to grudgingly admit, regarding which the government had told a blatant lie in Parliament.",Hindi,27-06-2026 16:18,NEGATIVE,42,2
50,https://www.youtube.com/watch?v=_e4DmWroUb8,Is Indian Express after Modi? Uncovered a big scam in the office.,Bolta Hindustan,"Indian Express has exposed alleged corruption by Union Minister of State for Agriculture, Bhagirath Choudhary. The report claims Choudhary, who cultivates cucumbers, applied for and received a 99 lakh rupee subsidy for his farming project from a scheme under his own ministry. The total budget for this scheme was 1.99 crore, benefiting 467 farmers, with the largest portion reportedly going to the minister. Although the final approval came from a committee he wasn't directly part of, he serves as an ex-officio Vice President of the National Horticulture Board which oversees the scheme. The issue is further highlighted by the fact that his previous application for the same subsidy was rejected before he became a minister, but it was approved within 14 days of him taking office. Critics, including the Congress Party, allege this is a clear case of misuse of power and public funds, demanding his resignation and an investigation into the corruption.","Brother, Indian Express is dropping bomb after bomb on the BJP government. Before this, it exposed the corruption of the Madhya Pradesh Chief Minister, detailing how he acquired a large amount of land around road projects. And now, it reveals how a Union Minister of State for Agriculture pocketed millions of rupees in subsidy from his own department. These ministers now consider the government's treasury and their own pockets to be one and the same, diverting money from government schemes into their personal accounts. What is this whole story, and how beneficial will this expose by Indian Express be for the Modi government? I am going to explain that to you in this video. There's a minister, Minister of State for Agriculture, Bhagirath Choudhary. A report has come out about him, published in Indian Express. This report from Indian Express states that the minister cultivates cucumbers and applied for a subsidy related to this cucumber farming. He then had a subsidy of 99 lakh rupees deposited into his own pocket. Up to this point, everything seems clear. The minister did farming, specifically of the crop for which subsidy was available, and the subsidy was quickly approved, with 99 lakh rupees reaching his pocket. People are alleging that this is a case of misuse of office, but the matter is something else entirely. Under this scheme, the total budget allocated was 1 crore 99 lakh rupees. In the year 2025-26, only 467 farmers received benefits from this scheme, and one of them was our Union Minister of State for Agriculture, Bhagirath Choudhary. And the largest chunk of that went into the minister's pocket. Only 60 farmers received a subsidy of over 50 lakh rupees. Our minister was also among them. And nearly half of the entire budget went into the minister's bank account. On paper, you won't see any problem, that money was taken directly on paper, money was taken in white, no bribe, nothing. But where does the problem begin? What does this Indian Express report reveal? First, let me explain it to you briefly. What did Indian Express publish? The Union Minister of State Agriculture Bhagirath Choudhary received 99.03 lakh crore subsidy for commercial cucumber farming project under the scheme run by his ministry he serves in. While the final approval was granted by an NHB project approval committee that does not include him, Choudhary is an ex-officio Vice President of the NHB board that oversees the functioning. The project worth 1.99 crore was amongst 467 approved under the scheme in 2025. This is the whole matter that I just explained. Out of a budget of nearly 2 crore, almost 1 crore went to the minister himself. But where do the problems begin? This has been explained by the Congress Party. A major corruption case involving Modi government minister Bhagirath Choudhary has come to light. Minister of State for Agriculture Bhagirath took a subsidy of 99 lakh rupees from his own ministry for cucumber farming. He acquired the land just a few months after becoming a minister. Bhagirath applied for the subsidy in April 2025 and received approval within just 14 days. Here's the problem. As soon as one becomes a minister, they apply for a subsidy, and within 14 days, the subsidy is also received. Furthermore, the Indian Express report also states that the minister had applied for the same subsidy in 2018. At that time, he was not a minister. Then, his subsidy was rejected. But as soon as he became a minister, this subsidy was accepted, and what's more, it was accepted by the same board of which he has been the Vice President, an ex-officio member. This is a very significant point. What's next? This is a direct case of misuse of office, a case of looting public money after becoming a minister. Narendra Modi has given his ministers a free hand; the message is clear, 'Eat yourselves, feed me too, and loot as much as you can.' After this revelation, Bhagirath Choudhary has no right to remain in his post. His resignation should be taken, and his corruption should be investigated. Brother, ministers don't resign; he is still a Minister of State. Protests have been going on for the past 8 days demanding Dharmendra Pradhan's resignation, but Dharmendra Pradhan remains unaffected. What guarantee is there that these allegations will move him? Let me tell you more of the story. This Indian Express report not only exposes Bhagirath Choudhary's corruption but also reveals that there are other people who are fully utilizing their positions. Look at this graphic from Indian Express. There is a senior IAS officer from the Rajasthan cadre whose mother, wife, sons, and family members directly benefited from this scheme. Wow, brother! This is called the cream of power; the more you lick from it, the less it seems. What minister, what official, what bureaucrat, everyone gets something on their plate. If the government has launched a scheme, it has to be consumed, right? Now, let's move on. What is journalist and columnist Avesh Tiwari writing? After the Ram Janmabhoomi Chanda scam, the Simhastha scam, and then the Operation Sindoor scam, now presented is the Marubhumi scam. PM Modi's very dear Union Minister of State for Agriculture, Bhagirath Choudhary, took a subsidy of 1 crore rupees from a government scheme running under his own ministry. According to Indian Express, the National Horticulture Board that approved this scheme includes the Union Minister of State for Agriculture as its ex-officio Vice President. Congratulations, this is where the game is. In official language, 'Sabka Saath, Sabka Vikas' (Together with all, Development for all). Narendra Modi has said it, so it has to be done. Now, whether it's any minister or any bureaucrat. Modi ji has said it, so the word must be followed. What are your thoughts about this entire news story and this new 'bomb' from Indian Express? Please tell us in the comment section. To keep watching more such news, please subscribe to Bolta Hindustan. Thank you very much.",Hindi,27-06-2026 16:10,NEGATIVE,201,16
51,https://www.youtube.com/watch?v=haDjQGgpSsQ,"Exclusive: From Ram Mandir Scam to Paper Leak, Abhay Dubey Exposed Modi-Yogi! | Rajnath",DESH NEETI,"During a discussion on 'Desh Neeti', Congress leader Abhay Dubey leveled severe accusations against the Modi-Yogi government. He began by stating that rulers whose subjects suffer are destined for hell, applying this to current leaders, and called the present 'undeclared emergency' worse than previous ones.

Dubey alleged that funds for the Ram Mandir were collected from 15 countries without official permission and subsequently embezzled, with the government failing to provide any clarity. He reinterpreted the BJP's old slogan, 'Ram Lalla hum aayenge' (Ram Lalla, we will come), to imply 'chanda hum hi churayenge' (we will steal the donations), labeling the ruling party as 'fake devotees of Ram' and 'donation thieves'.

He highlighted Defence Minister Rajnath Singh's alleged lie in Parliament regarding no soldier casualties in 'Operation Sindoor', pointing out that the government later released the names of six martyrs. Dubey asserted that the entire world knew about India's losses, but its own citizens were kept in the dark, claiming China and Pakistan collaborated to freeze India's systems.

Addressing the land purchase allegations against Madhya Pradesh CM Mohan Yadav, Dubey dismissed it as a caste issue, firmly labelling it as a direct case of corruption. Regarding Akhilesh Yadav's accusations against CM Yogi Adityanath concerning similar land deals, Dubey stated that those who conspire against the public are bound to be removed, either by their party or through elections. He rejected speculations of an internal BJP conspiracy to remove Yogi, emphasizing the issue as purely one of corruption.","Even if Lord Ram, the ideal man, had ruled in a way that caused his subjects sorrow, he would be deemed an heir to hell. Any king whose reign forces the people to suffer is an heir to hell. Therefore, these people at the pinnacle of power are heirs to hell. Was the previous Emergency such a grave challenge, or is the current 'undeclared emergency,' as the Congress terms it, even worse? Despite not having official permission, they collected donations from at least 15 countries. They embezzled those donations, yet the government has failed to clarify anything about it. So, regarding this major issue, is a loss for them certain in 2027, perhaps against someone like Yogi? It's unfortunate if the government is bent on lying even within the Parliament. The whole world knows they've committed this scam. Is there also an internal conflict brewing among them because of this? In the 80s and 90s, the slogan was 'Ram Lalla, we will come.' The true, underlying slogan was 'Ram Lalla, we will come, and we will steal the donations.' Namaskar, welcome everyone to Desh Neeti, and today with us is Abhay Dubey ji. He is a Congress leader and a good orator, one of those spokespersons who started his political journey from Indore and was also given responsibility in Delhi, and his statements often become a topic of discussion. From political corridors to social media, he always gives such bold statements on some issue or another, asking direct questions to the government that become a subject of discussion. Anyway, today he is present on the Desh Neeti platform. He has come here to talk to us. Sir, first of all, thank you very much for giving us your time. Thank you. Sir, I had many questions to begin with, I was even confused about which question to start with. But today, look, one statement is most discussed – Rajnath Singh's statement in Parliament, where he says that if you want to ask questions, ask how many soldiers were lost, and his answer is no, no, no, not a single soldier was lost. And now, more than a year has passed since Operation Sindoor, and the government itself releases the names of those six martyrs whose names are printed at the Veer Memorial. Everywhere, there is discussion about their six names, we just discussed this with you, so why is this happening? Why is a lie being told in Parliament? This is a very unfortunate thing. Rahul Gandhi ji, the Congress party, the whole country was continuously asking questions: Prime Minister ji, Defense Minister ji, please tell us what loss India has finally suffered in this Operation Sindoor? How many of our aircraft were shot down? It's unfortunate. The whole world knows. Look, Europe has Constellation, Russia has GLONASS, Galileo, America has GPS, and China has Beidou. They have found out everything with their constellations, with these satellites. But only the citizens of India did not know what happened to us. The whole world was saying how China, in collaboration with Pakistan, tried to harm India's Operation Sindoor. Our entire systems were frozen by radar, and we were completely isolated. And today, this revelation is shameful. It means, if the government is bent on lying even in Parliament, what else must be hidden from this country? This can be understood. Sir, now since you come from Indore, that's why I want to talk about the big political upheaval that has come from Madhya Pradesh, the Mohan Yadav land purchase and sale case. On this, sir, a new turn has come that Akhilesh Yadav, instead of cornering him, defended him. But in doing so, he made a big statement that CM Yogi has also bought and sold land close to 300 to 600 acres. So this is a political conspiracy within the BJP itself to remove these chief ministers, he mentioned three chief ministers, and finally, a political atmosphere is being created to remove Yogi Adityanath. Also, Brijbhushan Sharan Singh also said that, well, who gave Akhilesh Yadav the 'masala' (information)? People sitting in power gave it. So how true is this and do you think that such a political conspiracy is being hatched to remove Yogi Adityanath, because a similar dispute was seen in 2022 as well. Look, those who have conspired with the people of the country and the state, their removal is certain. Whether the Bharatiya Janata Party removes them or the public itself removes them in the elections. But Akhilesh Yadav ji, this question is not about caste, it is about land. I have never seen an OBC person so deeply involved in such severe corruption that he has done work worth thousands of crores under the patronage of his own government. And the youth and public of the country and state are suffering, and you are earning thousands of crores of rupees. So this question is directly about corruption. It has nothing to do with OBC or caste. Sir, a controversy about Ram Mandir has gained a lot of momentum, and the government side is saying that they had nothing else, so they caught the issue of Ram Mandir. Yogi Adityanath is giving statements like 'doodh ka doodh, pani ka pani' (everything will become clear). But now that the SIT report has also come, eight arrests have been made, resignations have also happened. But the government is not able to clarify anything about it. So, after all, in this big matter, is it certain that Yogi Adityanath will suffer losses in 2027? Look, what was the foundation of the Bharatiya Janata Party? What was their slogan? In the 80s and 90s, they gave the slogan 'Ram Lalla hum aayenge' (Ram Lalla, we will come). The real slogan was 'Ram Lalla hum aayenge aur chanda hum hi churayenge' (Ram Lalla, we will come and we will steal the donations). These are fake devotees of Ram. These are donation thieves.",Hindi,27-06-2026 16:00,NEGATIVE,7,1
52,https://www.youtube.com/watch?v=tvVQRc8WwtE,Amit Shah kept banging the table.. Rajnath humiliated him to his face! #shorts #short,4PM,"The clip criticizes the Indian government, accusing the Defense Minister, Rajnath Singh, of shamelessly lying in Parliament about casualties in 'Operation Sindoor,' claiming no soldiers were harmed while six were martyred. It alleges that Home Minister Amit Shah attempted to mitigate the situation, and the Prime Minister, Narendra Modi, went on a foreign trip amidst the controversy, implying indifference to the soldiers' sacrifice.","Poor Amit Shah kept banging the table, but Rajnath Singh didn't even leave him presentable. So, we will tell you how this double embarrassment is currently unfolding, but first, listen to the statement. If you want to ask a question, then ask this: 'Has there been any harm to our brave soldiers in this operation?' And the answer is 'No.' So, you heard it. It is said that not even a scratch was sustained by any soldier in Operation Sindoor. But the truth is now out in the world. Six soldiers were martyred. But still, shamelessly, the Defense Minister lied in a full house. The Home Minister saved the table, and the Prime Minister of the country, in the name of '56 inches', puffed out his chest and went on a foreign trip.",Hindi,27-06-2026 15:30,NEGATIVE,87,2
53,https://www.youtube.com/watch?v=tb9AScz2TTE,"6 Jawans Martyred, Rajnath Singh Said “No Harm” — Modi Govt Exposed | Operation Sindoor",Indian National Congress,"The video alleges that six Indian soldiers were martyred in 'Operation Sindoor', a fact the government initially denied, claiming 'no loss'. The names of these brave men are now public. The speaker criticizes the Modi government, including PM Modi, Amit Shah, and Rajnath Singh, for allegedly concealing this truth and lying in Parliament. The video asserts this isn't an isolated incident, referencing the Galwan clash where 20 soldiers were martyred and Modi supposedly gave China a 'clean chit', and the Pulwama attack where 40 soldiers died and their names were allegedly used for votes. The core argument is that the government prioritizes its image and ""Vishwaguru"" narrative over accountability and the truth regarding soldiers' sacrifices.","If you want to ask a question, ask this: 'Did our brave soldiers suffer any damage in this operation?' The answer to that is 'No'. That wasn't just a false claim, it was an attempt to erase the sacrifice of our soldiers. But the truth has finally come out. Six Indian soldiers were martyred in Operation Sindoor, and now even their names are in the public domain. These are the brave men the government never acknowledged. Subedar Major Pawan Kumar, Headquarters 10 Infantry Brigade. Rifleman Sunil Kumar, 4th Battalion Jammu and Kashmir Light Infantry Regiment. Lance Naik Dinesh Kumar, 5 Field Regiment. Agnivur Mood Murali Nayak, 851 Light Regiment. Havildar Sunil Kumar Singh, 237 Field Workshop. Sergeant Surendra Kumar, 39 Wing Indian Air Force. Six families paid the price. The country was told there was no loss. Now Narendra Modi, Amit Shah and Rajnath Singh must answer. Why was this truth hidden from the nation? Why did the government lie in Parliament? And this is not the first time the Modi government has lied to protect its own image. Galwan, 20 soldiers were martyred and Modi gave a clean chit to China. Pulwama, 40 soldiers were martyred and their names were used for votes. Years later, the core questions still remain unanswered. The sad reality is for the Modi government, image comes first, accountability comes later if at all. And anything that damages the Vishwaguru narrative is pushed under the carpet.",English,27-06-2026 15:30,NEGATIVE,0,22
54,https://www.youtube.com/watch?v=p_ph4aPkXVQ,Limit of shamelessness! 😳😳,Indian National Congress,"The central government officially disclosed the names of six Indian soldiers martyred during Operation Sindoor. These names were added to the Roll of Honour on the National War Memorial website in New Delhi, 13 months after the operation. Initially, the report states that no harm occurred to brave soldiers in 'the operation', then focuses on the martyred soldiers of 'Operation Sindoor'.","Was there any harm to our brave soldiers in the operation? The answer is no. For the first time, the central government has officially made public the names of six Indian soldiers martyred during Operation Sindoor. About 13 months later, the names of these brave soldiers were included in the Roll of Honour on the website of the National War Memorial in New Delhi.",Hindi,27-06-2026 13:45,POSITIVE,0,53
55,https://www.youtube.com/watch?v=zST-fgotWVo,"6 soldiers martyred in Operation Sindoor, while Modi government lied in Parliament, Supriya Shrinate enraged.",Indian National Congress,"The speaker names six bravehearts martyred in Operation Sindoor and accuses the Modi government of initially denying their sacrifice. She highlights that in July 2025, then Defense Minister Rajnath Singh stated in Parliament that there were no casualties, despite the government now admitting to the martyrdoms. The speaker labels this a deliberate act of misleading Parliament, a lie, and an insult to the bravehearts' supreme sacrifice, demanding accountability. She concludes that mocking martyrs and disrespecting their sacrifice is the true nature of the Modi government, which blatantly lied in Parliament about these deaths.","Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Murli Naik, Havildar Sunil Kumar Singh, and Sergeant Surendra Kumar. These were the six bravehearts of this country who sacrificed their lives in the defense of this country during Operation Sindoor. And the act of denying the sacrifice of these six bravehearts, their supreme sacrifice, was done by Narendra Modi's government. Now the government has admitted that these six bravehearts were martyred during Operation Sindoor, but I also remember that day, July 2025, when then Defense Minister Rajnath Singh stood in Parliament and said that not a single jawan, not a single soldier had sacrificed their life, there was not even a slight loss. This was a deliberate attempt to mislead the Parliament. A lie was spoken in Parliament and a minister spoke a lie. This is not just contempt of Parliament, not just a breach of parliamentary privileges, it is actually an insult to the supreme sacrifice of our bravehearts, a mockery of their martyrdom. This sin of making them anonymous was committed by this government. And what its punishment is, you decide. But the reality is that repeatedly making fun of their martyrdom, showing contempt for their sacrifice, this is the reality of the Modi government. During Operation Sindoor, our six bravehearts were martyred, which the government has now had to admit after much insistence, about which the government told a blatant lie in Parliament.",Hindi,27-06-2026 13:45,NEGATIVE,0,21
